"","Taxa_lvl1","Taxa_lvl2","Taxa_lvl3","Taxa_lvl4","Taxa_lvl5","Lowest_Common_Taxon_Name","Lowest_Common_Taxon_lvl","...8","...9","...10","Scientific_Name","Lowest_Taxonomic_Resolution","Habitat","Habitat_2","Trophic_Level","Trophic_Category","Trophic_Category_2","Diet","Diet_Source","Diet_Source_2","Mean_Harvest_Time","SD_Harvest_Time","HT_Source","X"
"15","Birds and Eggs","Migratory Birds","Duck","Scaup","Greater Scaup","Duck","Taxa_lvl3","surveys in 1990+ have more detail",NA,NA,"Aythya marila","Species","Terrestrial","Freshwater/marine-nearshore",2.5,"Omnivore (pp/pc)","Omnivore","Mostly mollusks and plant material. Diet in winter is mainly mussels, clams, oysters, snails, and other mollusks. In summer (and perhaps in winter on fresh water) consumes plants including pondweeds, wild celery, sedges, grasses, and others; also insects and crustaceans.","Greater Scaup | Audubon Field Guide",NA,NA,NA,NA,NA
"16","Birds and Eggs","Migratory Birds","Duck","Teal","Green-Winged Teal","Duck","Taxa_lvl3","surveys in 1990+ have more detail",NA,NA,"Anas crecca","Species","Terrestrial","Freshwater/estuaries",2.5,"Omnivore (pp/pc)","Omnivore","Mostly plant material. Diet quite variable with season and location. Feeds especially on seeds of grasses, sedges, pondweeds, many others. Also takes aquatic insects, crustaceans, mollusks, tadpoles; rarely earthworms, fish eggs. May feed more on animal matter in summer, seeds in winter","Green-winged Teal | Audubon Field Guide",NA,NA,NA,NA,170
"17","Birds and Eggs","Migratory Birds","Duck","Harlequin","Harlequin","Duck","Taxa_lvl3","surveys in 1990+ have more detail",NA,NA,"Histrionicus histrionicus","Species","Terrestrial","Freshwater/marine-nearshore",3,"Secondary Consumer","Predator","mollusks, crustaceans, insects. Diet at sea is mostly mollusks (including mussels and periwinkles) and crustaceans (including crabs and others); also a few small fish, marine worms. On rivers may eat mostly aquatic insects, and may eat small amounts of plant material","Harlequin Duck | Audubon Field Guide",NA,NA,NA,NA,157
"18","Birds and Eggs","Migratory Birds","Duck","Scaup","Lesser Scaup","Duck","Taxa_lvl3","surveys in 1990+ have more detail",NA,NA,"Aythya affinis","Species","Terrestrial","Freshwater/marine-nearshore",2.5,"Omnivore (pp/pc)","Omnivore","Includes mollusks, plant material. Diet varies with season and habitat, but animal matter may predominate, especially mollusks such as clams and snails, also aquatic insects, crustaceans. Also eats plant material such as stems and leaves of sea lettuce, pondweeds, wild celery, plus seeds of pondweeds, sedges, grasses, and others.","Lesser Scaup | Audubon Field Guide",NA,NA,NA,NA,NA
"19","Birds and Eggs","Migratory Birds","Duck","Long-tailed Duck (Oldsquaw)","Long-tailed Duck (Oldsquaw)","Duck","Taxa_lvl3","surveys in 1990+ have more detail",NA,NA,"Clangula hyemalis","Species","Terrestrial","Marine/freshwater",2.5,"Omnivore (pp/pc)","Omnivore","mollusks, crustaceans, insects. Diet at sea mainly mollusks (including mussels, clams, periwinkles) and crustaceans (including amphipods and isopods); also a few small fish. In summer on breeding territory eats mostly aquatic insects, also crustaceans, mollusks, fish eggs, and some plant material including grasses and pondweeds.","Long-tailed Duck | Audubon Field Guide",NA,NA,NA,NA,162
"20","Birds and Eggs","Migratory Birds","Duck","Mallard","Mallard","Duck","Taxa_lvl3","surveys in 1990+ have more detail",NA,NA,"Anas platyrhynchos","Species","Terrestrial","Freshwater",2.5,"Omnivore (pp/pc)","Omnivore","Majority of diet is plant material, including seeds, stems, and roots of a vast variety of different plants, especially sedges, grasses, pondweeds, smartweeds, many others; also acorns and other tree seeds, various kinds of waste grain. Also eat insects, crustaceans, mollusks, tadpoles, frogs, earthworms, small fish.","Mallard | Audubon Field Guide",NA,NA,NA,NA,158
"21","Birds and Eggs","Migratory Birds","Duck","Northern Pintail","Northern Pintail","Duck","Taxa_lvl3","surveys in 1990+ have more detail",NA,NA,"Anas acuta","Species","Terrestrial","Terrestrial/freshwater/Estuarine",2.5,"Omnivore (pp/pc)","Omnivore","Mostly seeds, insects. Diet mostly plant material in fall and winter, especially seeds of grasses, sedges, pondweeds, and others, and waste grain in fields. In spring and summer also feeds on roots and new growth. More animal matter in summer, mainly insects, mollusks, crustaceans; sometimes tadpoles, small fish. Young ducklings eat mostly insects","Northern Pintail | Audubon Field Guide",NA,NA,NA,NA,163
"22","Birds and Eggs","Migratory Birds","Duck","Merganser","Red-Breasted Merganser","Duck","Taxa_lvl3","surveys in 1990+ have more detail",NA,NA,"Mergus serrator","Species","Terrestrial","Freshwater/marine",3,"Secondary Consumer","Predator","Mostly fish. Feeds mainly on small fish, also crustaceans, aquatic insects, and sometimes frogs, tadpoles, or worms. Young ducklings eat mostly insects","Red-breasted Merganser | Audubon Field Guide",NA,NA,NA,NA,160
"23","Birds and Eggs","Migratory Birds","Duck","Redhead Duck","Redhead Duck","Duck","Taxa_lvl3","surveys in 1990+ have more detail",NA,NA,"Aythya americana","Species","Terrestrial","Freshwater/estuaries",2.5,"Omnivore (pp/pc)","Omnivore","aquatic plants, insects. Diet is mainly leaves, stems, seeds, and roots of aquatic plants: shoalgrass, pondweeds, smartweeds, sedges, waterlilies, and others. Also eats many aquatic insects, especially in summer, plus mollusks, rarely small fish","Redhead | Audubon Field Guide",NA,NA,NA,NA,NA
"24","Birds and Eggs","Migratory Birds","Duck","Scaup","Scaup","Duck","Taxa_lvl3","surveys in 1990+ have more detail",NA,"two species of scaup in alaska - lesser and greater, same trophic level but potentially different phenologies","Aythya","Genus","Terrestrial","Freshwater/marine-nearshore",2.5,"Omnivore (pp/pc)","Omnivore","mainly mollusks and plant material (based on diet of greater and lesser scaup)",NA,NA,NA,NA,NA,134
"25","Birds and Eggs","Migratory Birds","Duck","Scoter","Surf Scoter","Duck","Taxa_lvl3","surveys in 1990+ have more detail",NA,NA,"Melanitta perspicillata","Species","Terrestrial","Marine/freshwater",2.5,"Omnivore (pp/pc)","Omnivore","Mostly mollusks. In addition to mollusks, also feeds on crustaceans, aquatic insects, small fishes, echinoderms, marine worms. Also eats some plant material, mainly pondweeds and sedges. Young eat mostly aquatic insects at first, also mollusks and some plant material, including sedges, pondweeds, and crowberries.","Surf Scoter | Audubon Field Guide",NA,NA,NA,NA,166
"26","Birds and Eggs","Migratory Birds","Duck","Teal","Teal","Duck","Taxa_lvl3","surveys in 1990+ have more detail",NA,NA,"Anas","Genus","Terrestrial","Freshwater/estuaries",2.5,"Omnivore (pp/pc)","Omnivore","mainly plant material, but some insect/animals","Teal | Migratory, Waterfowl, Wading Bird | Britannica",NA,NA,NA,NA,136
"27","Birds and Eggs","Migratory Birds","Duck","Unknown Duck","Unknown Duck","Duck","Taxa_lvl3","surveys in 1990+ have more detail",NA,NA,"Anatidae","Family","Terrestrial","Freshwater/marine",2.5,"Omnivore (pp/pc)","Omnivore","most of the ducks are omnivores, so I think safe to as an average say they are omnivores",NA,NA,NA,NA,NA,174
"28","Birds and Eggs","Migratory Birds","Duck","Goldeneye","Unknown Goldeneye","Duck","Taxa_lvl3","surveys in 1990+ have more detail",NA,NA,"Anatidae","Family","Terrestrial","Freshwater/marine",2.5,"Omnivore (pp/pc)","Omnivore","most of the ducks are omnivores, so I think safe to as an average say they are omnivores",NA,NA,NA,NA,NA,156
"29","Birds and Eggs","Migratory Birds","Duck","Merganser","Unknown Merganser","Duck","Taxa_lvl3","surveys in 1990+ have more detail",NA,NA,"Mergus","Genus","Terrestrial","Freshwater/marine",3,"Secondary Consumer","Predator","based on species level diets in genus",NA,NA,NA,NA,NA,161
"30","Birds and Eggs","Migratory Birds","Duck","Scaup","Unknown Scaup","Duck","Taxa_lvl3","surveys in 1990+ have more detail",NA,"two species of scaup in alaska - lesser and greater, same trophic level but potentially different phenologies","Aythya","Genus","Terrestrial","Freshwater/marine-nearshore",2.5,"Omnivore (pp/pc)","Omnivore","mainly mollusks and plant material (based on diet of greater and lesser scaup)",NA,NA,NA,NA,NA,164
"31","Birds and Eggs","Migratory Birds","Duck","Scoter","Unknown Scoter","Duck","Taxa_lvl3","surveys in 1990+ have more detail",NA,NA,"Melanitta","Genus","Terrestrial","Marine/freshwater",2.5,"Omnivore (pp/pc)","Omnivore","mollusks/some plant material, based on species in genus",NA,NA,NA,NA,NA,168
"32","Birds and Eggs","Migratory Birds","Duck","Teal","Unknown Teal","Duck","Taxa_lvl3","surveys in 1990+ have more detail",NA,NA,"Anas","Genus","Terrestrial","Freshwater/estuaries",2.5,"Omnivore (pp/pc)","Omnivore","mainly plant material, but some insect/animals","Teal | Migratory, Waterfowl, Wading Bird | Britannica",NA,NA,NA,NA,171
"33","Birds and Eggs","Migratory Birds","Duck","Wigeon","Unknown Wigeon","Duck","Taxa_lvl3","surveys in 1990+ have more detail",NA,NA,"Mareca","Genus","Terrestrial","Freshwater/estuaries",2.5,"Omnivore (pp/pc)","Omnivore","Mostly plant material. Eats aquatic plants such as pondweeds, sedges, wild celery, eelgrass, algae. Also eats some insects and snails. On land, grazes on young grass shoots, and consumes seeds and waste grains. Very young ducklings eat many insects.",NA,NA,NA,NA,NA,173
"34","Birds and Eggs","Migratory Birds","Duck","Scoter","White-winged Scoter","Duck","Taxa_lvl3","surveys in 1990+ have more detail",NA,NA,"Melanitta deglandi","Species","Terrestrial","Marine/freshwater",2.5,"Omnivore (pp/pc)","Omnivore","Mostly mollusks. In addition to mollusks, also feeds on crustaceans and aquatic insects, plus small numbers of fish. Also eats some plant material, including sea lettuce, pondweeds, and others","White-winged Scoter | Audubon Field Guide",NA,NA,NA,NA,167
"35","Birds and Eggs","Migratory Birds","Duck","Wigeon","Wigeon","Duck","Taxa_lvl3","surveys in 1990+ have more detail",NA,NA,"Mareca","Genus","Terrestrial","Freshwater/estuaries",2.5,"Omnivore (pp/pc)","Omnivore","Mostly plant material. Eats aquatic plants such as pondweeds, sedges, wild celery, eelgrass, algae. Also eats some insects and snails. On land, grazes on young grass shoots, and consumes seeds and waste grains. Very young ducklings eat many insects.",NA,NA,NA,NA,NA,137
"36","Birds and Eggs","Bird Eggs","Duck Eggs","Duck Eggs","Duck Eggs","Duck Eggs","Taxa_lvl3",NA,NA,NA,"Anatidae","Family","Terrestrial","Freshwater/marine",2.5,"Omnivore (pp/pc)","Omnivore","most of the ducks are omnivores, so I think safe to as an average say they are omnivores",NA,NA,NA,NA,NA,125
"37","Birds and Eggs","Bird Eggs","Duck Eggs","Mallard Eggs","Mallard Eggs","Duck Eggs","Taxa_lvl3",NA,NA,NA,"Anas platyrhynchos","Species","Terrestrial","Freshwater",2.5,"Omnivore (pp/pc)","Omnivore","Majority of diet is plant material, including seeds, stems, and roots of a vast variety of different plants, especially sedges, grasses, pondweeds, smartweeds, many others; also acorns and other tree seeds, various kinds of waste grain. Also eat insects, crustaceans, mollusks, tadpoles, frogs, earthworms, small fish.","Mallard | Audubon Field Guide",NA,NA,NA,NA,NA
"38","Birds and Eggs","Bird Eggs","Duck Eggs","Unknown Duck Eggs","Unknown Duck Eggs","Duck Eggs","Taxa_lvl3",NA,NA,NA,"Anatidae","Family","Terrestrial","Freshwater/marine",2.5,"Omnivore (pp/pc)","Omnivore","most of the ducks are omnivores, so I think safe to as an average say they are omnivores",NA,NA,NA,NA,NA,203
"39","Birds and Eggs","Migratory Birds","Geese","Brant","Brant","Geese","Taxa_lvl3","only 1983 has only geese, others usually have more detail, at least canada geese etc",NA,NA,"Branta bernicla","Species","Terrestrial","Marine/estuaries/terrestrial",2.5,"Omnivore (pp/pc)","Omnivore","mostly plant material. In migration and winter, eats aquatic plants; eelgrass heavily favored where available, also takes wigeon grass, rockgrass, green algae, others. On breeding grounds, grazes on sedges, grasses, pondweed, others. Also eat a few aquatic insects, mollusks, worms","Brant | Audubon Field Guide",NA,NA,NA,NA,175
"40","Birds and Eggs","Migratory Birds","Geese","Canada Geese","Canada Geese","Geese","Taxa_lvl3","only 1983 has only geese, others usually have more detail, at least canada geese etc",NA,NA,"Branta canadensis","Species","Terrestrial","Freshwater/terrestrial",2.5,"Omnivore (pp/pc)","Omnivore","Consists almost entirely of plant material. Feeds on very wide variety of plants. Eats stems and shoots of grasses, sedges, aquatic plants, also seeds and berries; consumes many cultivated grains (especially on refuges, where crops planted for geese). Occasionally eats some insects, mollusks, crustaceans, sometimes small fish","Canada Goose | Audubon Field Guide",NA,NA,NA,NA,138
"41","Birds and Eggs","Migratory Birds","Geese","Canada Geese","Dusky Canada Geese","Geese","Taxa_lvl3","only 1983 has only geese, others usually have more detail, at least canada geese etc",NA,NA,"Branta canadensis occidentalis","Subspecies","Terrestrial","Freshwater/terrestrial",2.5,"Omnivore (pp/pc)","Omnivore","based on canada goose diet",NA,NA,NA,NA,NA,176
"42","Birds and Eggs","Migratory Birds","Geese","Emperor Geese","Emperor Geese","Geese","Taxa_lvl3","only 1983 has only geese, others usually have more detail, at least canada geese etc",NA,NA,"Anser canagicus","Species","Terrestrial","Terrestrial/marine-nearshore",2.5,"Omnivore (pp/pc)","Omnivore","Varies with season. On breeding grounds, mostly plant material: roots and bulbs early in season, fresh growth of sedges and other plants during summer. In late summer, may feed on crowberry or blueberry. During migration and winter feeds heavily on clams and mussels, also on marine algae and other plants","Emperor Goose | Audubon Field Guide",NA,NA,NA,NA,179
"43","Birds and Eggs","Migratory Birds","Geese","Geese","Geese","Geese","Taxa_lvl3","only 1983 has only geese, others usually have more detail, at least canada geese etc",NA,NA,"Anatidae","Family","Terrestrial","Freshwater/terrestrial/marine",2.5,"Omnivore (pp/pc)","Omnivore","based on that most geese species are omnivores",NA,NA,NA,NA,NA,123
"44","Birds and Eggs","Migratory Birds","Geese","Canada Geese","Lesser Canada Geese","Geese","Taxa_lvl3","only 1983 has only geese, others usually have more detail, at least canada geese etc",NA,NA,"Branta canadensis parvipes","Subspecies","Terrestrial","Freshwater/terrestrial",2.5,"Omnivore (pp/pc)","Omnivore","Consists almost entirely of plant material. Feeds on very wide variety of plants. Eats stems and shoots of grasses, sedges, aquatic plants, also seeds and berries; consumes many cultivated grains (especially on refuges, where crops planted for geese). Occasionally eats some insects, mollusks, crustaceans, sometimes small fish","Canada Goose | Audubon Field Guide",NA,NA,NA,NA,177
"45","Birds and Eggs","Migratory Birds","Geese","Snow Geese","Snow Geese","Geese","Taxa_lvl3","only 1983 has only geese, others usually have more detail, at least canada geese etc",NA,NA,"Anser caerulescens","Species","Terrestrial","Terrestrial/marine/freshwater",2,"Primary Consumer","Herbivore","Almost entirely plant material. Feeds on seeds, leaves, and roots of many species of wild grasses, also of sedges, bulrushes, horsetail, others. Very young goslings may feed on insect larvae. In fall, may eat many berries. Winter flocks often feed on waste grain in agricultural fields.","Snow Goose | Audubon Field Guide",NA,"Snow Goose | Audubon Field Guide",NA,NA,180
"46","Birds and Eggs","Migratory Birds","Geese","Canada Geese","Unknown Canada Geese","Geese","Taxa_lvl3","only 1983 has only geese, others usually have more detail, at least canada geese etc",NA,NA,"Branta canadensis","Species","Terrestrial","Freshwater/terrestrial",2.5,"Omnivore (pp/pc)","Omnivore","Consists almost entirely of plant material. Feeds on very wide variety of plants. Eats stems and shoots of grasses, sedges, aquatic plants, also seeds and berries; consumes many cultivated grains (especially on refuges, where crops planted for geese). Occasionally eats some insects, mollusks, crustaceans, sometimes small fish","Canada Goose | Audubon Field Guide",NA,NA,NA,NA,178
"47","Birds and Eggs","Migratory Birds","Geese","Unknown Geese","Unknown Geese","Geese","Taxa_lvl3","only 1983 has only geese, others usually have more detail, at least canada geese etc",NA,NA,"Anatidae","Family","Terrestrial","Freshwater/terrestrial/marine",2.5,"Omnivore (pp/pc)","Omnivore","based on that most geese species are omnivores",NA,NA,NA,NA,NA,182
"48","Birds and Eggs","Migratory Birds","Geese","Canada Geese","Vancouver Canada Geese","Geese","Taxa_lvl3","only 1983 has only geese, others usually have more detail, at least canada geese etc",NA,NA,"Branta canadensis fulva","Subspecies","Terrestrial","Freshwater/terrestrial",2.5,"Omnivore (pp/pc)","Omnivore","based on canada goose diet",NA,NA,NA,NA,NA,NA
"49","Birds and Eggs","Migratory Birds","Geese","White-fronted Geese","White-fronted Geese","Geese","Taxa_lvl3","only 1983 has only geese, others usually have more detail, at least canada geese etc",NA,NA,"Anser albifrons","Species","Terrestrial","Terrestrial/marine",2.5,"Omnivore (pp/pc)","Omnivore","Mostly plant material. In winter, mostly eats seeds and waste grain in fields, also grazes on new growth. In summer, eats stems and roots of grasses, sedges, horsetail, and other plants, also berries and buds. Eats a few aquatic insects and sometimes snails, possibly swallowed accidentally along with plants",NA,NA,NA,NA,NA,181
"50","Birds and Eggs","Bird Eggs","Geese Eggs","Geese Eggs","Geese Eggs","Geese Eggs","Taxa_lvl3",NA,NA,NA,"Anatidae","Family","Terrestrial","Freshwater/terrestrial/marine",2.5,"Omnivore (pp/pc)","Omnivore","based on that most geese species are omnivores",NA,NA,NA,NA,NA,126
"51","Birds and Eggs","Bird Eggs","Geese Eggs","Canada Geese Eggs","Lesser Canada Geese Eggs","Geese Eggs","Taxa_lvl3",NA,NA,NA,"Branta canadensis parvipes","Subspecies","Terrestrial","Freshwater/terrestrial",2.5,"Omnivore (pp/pc)","Omnivore","Consists almost entirely of plant material. Feeds on very wide variety of plants. Eats stems and shoots of grasses, sedges, aquatic plants, also seeds and berries; consumes many cultivated grains (especially on refuges, where crops planted for geese). Occasionally eats some insects, mollusks, crustaceans, sometimes small fish","Canada Goose | Audubon Field Guide",NA,NA,NA,NA,NA
"52","Birds and Eggs","Bird Eggs","Geese Eggs","Canada Geese Eggs","Unknown Canada Geese Eggs","Geese Eggs","Taxa_lvl3",NA,NA,NA,"Branta canadensis","Species","Terrestrial","Freshwater/terrestrial",2.5,"Omnivore (pp/pc)","Omnivore","Consists almost entirely of plant material. Feeds on very wide variety of plants. Eats stems and shoots of grasses, sedges, aquatic plants, also seeds and berries; consumes many cultivated grains (especially on refuges, where crops planted for geese). Occasionally eats some insects, mollusks, crustaceans, sometimes small fish","Canada Goose | Audubon Field Guide",NA,NA,NA,NA,NA
"53","Birds and Eggs","Bird Eggs","Geese Eggs","Unknown Geese Eggs","Unknown Geese Eggs","Geese Eggs","Taxa_lvl3",NA,NA,NA,"Anatidae","Family","Terrestrial","Freshwater/terrestrial/marine",2.5,"Omnivore (pp/pc)","Omnivore","based on that most geese species are omnivores",NA,NA,NA,NA,NA,204
"54","Birds and Eggs","Migratory Birds","Heron","Great Blue Heron","Great Blue Heron","Great Blue Heron","Taxa_lvl5",NA,NA,NA,"Ardea herodias","Species","Terrestrial","Freshwater/marine-nearshore",3,"Secondary Consumer","Predator","Highly variable and adaptable. Eats mostly fish, but also frogs, salamanders, turtles, snakes, insects, rodents, birds. Has been seen stalking voles and gophers in fields, capturing rails at edge of marsh, eating many species of small waterbirds","Great Blue Heron | Audubon Field Guide",NA,NA,NA,NA,199
"55","Birds and Eggs","Bird Eggs","Seabirds and Loon Eggs","Common Murre Eggs","Common Murre Eggs","Seabirds and Loon Eggs","Taxa_lvl3",NA,NA,NA,"Uria aalge","Species","Terrestrial","Marine/nearshore",3,"Secondary Consumer","Predator","Mostly fish. Feeds on wide variety of fish, including herring, cod, capelin, sand lance, haddock, many others. Also eats various crustaceans, marine worms, squid","Common Murre | Audubon Field Guide",NA,NA,NA,NA,NA
"56","Birds and Eggs","Bird Eggs","Seabirds and Loon Eggs","Glaucous Winged Gull Eggs","Glaucous Winged Gull Eggs","Seabirds and Loon Eggs","Taxa_lvl3",NA,NA,NA,"Larus glaucescens","Species","Terrestrial","Marine",2.5,"Omnivore (pp/pc)","Omnivore","Omnivorous. Diet includes fish, limpets, chitons, clams, mussels, sea urchins, barnacles, crabs, squid. Also smaller birds, eggs, small mammals, some plant material. Scavenges refuse in garbage dumps, and eats carrion","Glaucous-winged Gull | Audubon Field Guide",NA,NA,NA,NA,NA
"57","Birds and Eggs","Bird Eggs","Seabirds and Loon Eggs","Guillemot Eggs","Guillemot Eggs","Seabirds and Loon Eggs","Taxa_lvl3",NA,NA,"likely black or pigeon guillemot,  this is lowest level in the database","Cepphus","Genus","Terrestrial","Marine",3,"Secondary Consumer","Predator","fish and other marine life. Diet varies with season and location. Eats mostly small fish, also shrimps, crabs, polychaete worms, mollusks, small octopus (pigeon guillemot); Fish in diet (mainly those living near bottom in shallow waters) include butterfish, blennies, sculpins, gobies, sand lance, cod, many others. Crustaceans include crabs, shrimps, mysids, amphipods, copepods, isopods. Also eats some mollusks, insects, marine worms, bits of plant material (Black guillemot","https://www.audubon.org/field-guide/bird/pigeon-guillemot",NA,NA,NA,NA,NA
"58","Birds and Eggs","Bird Eggs","Seabirds and Loon Eggs","Loon Eggs","Loon Eggs","Seabirds and Loon Eggs","Taxa_lvl3",NA,NA,"5 species on loon found in AK","Gavia","Genus","Terrestrial","Freshwater/marine-nearshore",2.5,"Omnivore (pp/pc)","Omnivore","Loons feed on small fish but are also known to eat aquatic vegetation, insects, mollusks, and frogs","Loons in Alaska",NA,NA,NA,NA,NA
