Conversion Factor,Region,Resource,Resource Code,Units,Project Name,Project ID
7.7,Southeast,Chum Salmon,111000000,Ind.,Southeast Timber 1984/1985,13
6.2,Southeast,Chum Salmon,111000000,Ind.,Tongass Resource Use Cooperative Study 1987,15
9,Southeast,Chum Salmon,111000000,Ind.,Haines/Klukwan 1983,49
6.8,Southeast,Chum Salmon,111000000,Ind.,Southeast Timber 1985/1986,50
7.3,Southeast,Chum Salmon,111000000,Ind.,Southeast Timber 1985/1986,50
6.92,Southeast,Chum Salmon,111000000,Ind.,Southeast Harvest Update 1996,105
7,Southeast,Chum Salmon,111000000,Ind.,Southeast Harvest Update 1996,105
6.92,Southeast,Chum Salmon,111000000,Ind.,Prince of Wales 1997/1998,114
7.23,Southeast,Chum Salmon,111000000,Ind.,Prince of Wales 1998/1999,125
6.9412,Southeast,Chum Salmon,111000000,Ind.,Saxman 1999,133
6.9412,Southeast,Chum Salmon,111000000,Ind.,Saxman 1999/2000,133
6.94,Southeast,Chum Salmon,111000000,Ind.,Yakutat Household Survey 2000,137
6.0384,Southeast,Chum Salmon,111000000,Ind.,Alaska Peninsula Index Communities,210
6.0384,Southeast,Chum Salmon,111000000,Ind.,Index Communities Year 1,210
6.0384,Southeast,Chum Salmon,111000000,Ind.,Index Communities Year 2 (Southeast AK),210
6.0384,Southeast,Chum Salmon,111000000,Ind.,Southeast Index Communities,210
6.7266,Southeast,Chum Salmon,111000000,Ind.,Alaska Peninsula Index Communities,210
6.7266,Southeast,Chum Salmon,111000000,Ind.,Index Communities Year 1,210
6.7266,Southeast,Chum Salmon,111000000,Ind.,Index Communities Year 2 (Southeast AK),210
6.7266,Southeast,Chum Salmon,111000000,Ind.,Southeast Index Communities,210
6.734,Southeast,Chum Salmon,111000000,Ind.,Chilkat Chinook Salmon Ethnography,219
5.9472957,Southeast,Chum Salmon,111000000,Ind.,Hoonah Lands Partnership,243
6.2604,Southeast,Chum Salmon,111000000,Ind.,NPRB Yakutat Comprehensive,251
7.7,Southeast,Chum Salmon [CF Retention],111000001,Ind.,Southeast Timber 1984/1985,13
6.2,Southeast,Chum Salmon [CF Retention],111000001,Ind.,Tongass Resource Use Cooperative Study 1987,15
9,Southeast,Chum Salmon [CF Retention],111000001,Ind.,Haines/Klukwan 1983,49
6.8,Southeast,Chum Salmon [CF Retention],111000001,Ind.,Southeast Timber 1985/1986,50
7.3,Southeast,Chum Salmon [CF Retention],111000001,Ind.,Southeast Timber 1985/1986,50
6.92,Southeast,Chum Salmon [CF Retention],111000001,Ind.,Southeast Harvest Update 1996,105
7,Southeast,Chum Salmon [CF Retention],111000001,Ind.,Southeast Harvest Update 1996,105
6.92,Southeast,Chum Salmon [CF Retention],111000001,Ind.,Prince of Wales 1997/1998,114
7,Southeast,Chum Salmon [CF Retention],111000001,Ind.,Prince of Wales 1998/1999,125
6.94,Southeast,Chum Salmon [CF Retention],111000001,Ind.,Yakutat Household Survey 2000,137
6.0384,Southeast,Chum Salmon [CF Retention],111000001,Ind.,Alaska Peninsula Index Communities,210
6.0384,Southeast,Chum Salmon [CF Retention],111000001,Ind.,Index Communities Year 1,210
6.0384,Southeast,Chum Salmon [CF Retention],111000001,Ind.,Index Communities Year 2 (Southeast AK),210
6.0384,Southeast,Chum Salmon [CF Retention],111000001,Ind.,Southeast Index Communities,210
6.7266,Southeast,Chum Salmon [CF Retention],111000001,Ind.,Alaska Peninsula Index Communities,210
6.7266,Southeast,Chum Salmon [CF Retention],111000001,Ind.,Index Communities Year 1,210
6.7266,Southeast,Chum Salmon [CF Retention],111000001,Ind.,Index Communities Year 2 (Southeast AK),210
6.7266,Southeast,Chum Salmon [CF Retention],111000001,Ind.,Southeast Index Communities,210
6.734,Southeast,Chum Salmon [CF Retention],111000001,Ind.,Chilkat Chinook Salmon Ethnography,219
6.2604,Southeast,Chum Salmon [CF Retention],111000001,Ind.,NPRB Yakutat Comprehensive,251
7.7,Southeast,Chum Salmon [Rod and Reel],111000002,Ind.,Southeast Timber 1984/1985,13
6.2,Southeast,Chum Salmon [Rod and Reel],111000002,Ind.,Tongass Resource Use Cooperative Study 1987,15
9,Southeast,Chum Salmon [Rod and Reel],111000002,Ind.,Haines/Klukwan 1983,49
6.8,Southeast,Chum Salmon [Rod and Reel],111000002,Ind.,Southeast Timber 1985/1986,50
7.3,Southeast,Chum Salmon [Rod and Reel],111000002,Ind.,Southeast Timber 1985/1986,50
6.92,Southeast,Chum Salmon [Rod and Reel],111000002,Ind.,Southeast Harvest Update 1996,105
7,Southeast,Chum Salmon [Rod and Reel],111000002,Ind.,Southeast Harvest Update 1996,105
6.92,Southeast,Chum Salmon [Rod and Reel],111000002,Ind.,Prince of Wales 1997/1998,114
7.23,Southeast,Chum Salmon [Rod and Reel],111000002,Ind.,Prince of Wales 1998/1999,125
6.94,Southeast,Chum Salmon [Rod and Reel],111000002,Ind.,Yakutat Household Survey 2000,137
6.0384,Southeast,Chum Salmon [Rod and Reel],111000002,Ind.,Alaska Peninsula Index Communities,210
6.0384,Southeast,Chum Salmon [Rod and Reel],111000002,Ind.,Index Communities Year 1,210
6.0384,Southeast,Chum Salmon [Rod and Reel],111000002,Ind.,Index Communities Year 2 (Southeast AK),210
6.0384,Southeast,Chum Salmon [Rod and Reel],111000002,Ind.,Southeast Index Communities,210
6.7266,Southeast,Chum Salmon [Rod and Reel],111000002,Ind.,Alaska Peninsula Index Communities,210
6.7266,Southeast,Chum Salmon [Rod and Reel],111000002,Ind.,Index Communities Year 1,210
6.7266,Southeast,Chum Salmon [Rod and Reel],111000002,Ind.,Index Communities Year 2 (Southeast AK),210
6.7266,Southeast,Chum Salmon [Rod and Reel],111000002,Ind.,Southeast Index Communities,210
6.734,Southeast,Chum Salmon [Rod and Reel],111000002,Ind.,Chilkat Chinook Salmon Ethnography,219
5.9472957,Southeast,Chum Salmon [Rod and Reel],111000002,Ind.,Hoonah Lands Partnership,243
6.2604,Southeast,Chum Salmon [Rod and Reel],111000002,Ind.,NPRB Yakutat Comprehensive,251
7.7,Southeast,Chum Salmon [Other Gear],111000003,Ind.,Southeast Timber 1984/1985,13
6.2,Southeast,Chum Salmon [Other Gear],111000003,Ind.,Tongass Resource Use Cooperative Study 1987,15
9,Southeast,Chum Salmon [Other Gear],111000003,Ind.,Haines/Klukwan 1983,49
6.8,Southeast,Chum Salmon [Other Gear],111000003,Ind.,Southeast Timber 1985/1986,50
7.3,Southeast,Chum Salmon [Other Gear],111000003,Ind.,Southeast Timber 1985/1986,50
6.92,Southeast,Chum Salmon [Other Gear],111000003,Ind.,Southeast Harvest Update 1996,105
7,Southeast,Chum Salmon [Other Gear],111000003,Ind.,Southeast Harvest Update 1996,105
6.92,Southeast,Chum Salmon [Other Gear],111000003,Ind.,Prince of Wales 1997/1998,114
7.23,Southeast,Chum Salmon [Other Gear],111000003,Ind.,Prince of Wales 1998/1999,125
6.94,Southeast,Chum Salmon [Other Gear],111000003,Ind.,Yakutat Household Survey 2000,137
6.0384,Southeast,Chum Salmon [Other Gear],111000003,Ind.,Alaska Peninsula Index Communities,210
6.0384,Southeast,Chum Salmon [Other Gear],111000003,Ind.,Index Communities Year 1,210
6.0384,Southeast,Chum Salmon [Other Gear],111000003,Ind.,Index Communities Year 2 (Southeast AK),210
6.0384,Southeast,Chum Salmon [Other Gear],111000003,Ind.,Southeast Index Communities,210
6.7266,Southeast,Chum Salmon [Other Gear],111000003,Ind.,Alaska Peninsula Index Communities,210
6.7266,Southeast,Chum Salmon [Other Gear],111000003,Ind.,Index Communities Year 1,210
6.7266,Southeast,Chum Salmon [Other Gear],111000003,Ind.,Index Communities Year 2 (Southeast AK),210
6.7266,Southeast,Chum Salmon [Other Gear],111000003,Ind.,Southeast Index Communities,210
6.734,Southeast,Chum Salmon [Other Gear],111000003,Ind.,Chilkat Chinook Salmon Ethnography,219
5.9472957,Southeast,Chum Salmon [Other Gear],111000003,Ind.,Hoonah Lands Partnership,243
6.2604,Southeast,Chum Salmon [Other Gear],111000003,Ind.,NPRB Yakutat Comprehensive,251
8,Southeast,Coho Salmon,112000000,Ind.,Southeast Timber 1984/1985,13
8.7,Southeast,Coho Salmon,112000000,Ind.,Southeast Timber 1984/1985,13
7.7,Southeast,Coho Salmon,112000000,Ind.,Tongass Resource Use Cooperative Study 1987,15
7,Southeast,Coho Salmon,112000000,Ind.,Haines/Klukwan 1983,49
6.7,Southeast,Coho Salmon,112000000,Ind.,Southeast Timber 1985/1986,50
8,Southeast,Coho Salmon,112000000,Ind.,Southeast Timber 1985/1986,50
5,Southeast,Coho Salmon,112000000,Ind.,Southeast Harvest Update 1996,105
5.44,Southeast,Coho Salmon,112000000,Ind.,Southeast Harvest Update 1996,105
5.44,Southeast,Coho Salmon,112000000,Ind.,Prince of Wales 1997/1998,114
4.68,Southeast,Coho Salmon,112000000,Ind.,Prince of Wales 1998/1999,125
5.2392,Southeast,Coho Salmon,112000000,Ind.,Saxman 1999,133
5.2392,Southeast,Coho Salmon,112000000,Ind.,Saxman 1999/2000,133
5.31,Southeast,Coho Salmon,112000000,Ind.,Yakutat Household Survey 2000,137
4.275,Southeast,Coho Salmon,112000000,Ind.,Alaska Peninsula Index Communities,210
4.275,Southeast,Coho Salmon,112000000,Ind.,Index Communities Year 1,210
4.275,Southeast,Coho Salmon,112000000,Ind.,Index Communities Year 2 (Southeast AK),210
4.275,Southeast,Coho Salmon,112000000,Ind.,Southeast Index Communities,210
4.7925,Southeast,Coho Salmon,112000000,Ind.,Alaska Peninsula Index Communities,210
4.7925,Southeast,Coho Salmon,112000000,Ind.,Index Communities Year 1,210
4.7925,Southeast,Coho Salmon,112000000,Ind.,Index Communities Year 2 (Southeast AK),210
4.7925,Southeast,Coho Salmon,112000000,Ind.,Southeast Index Communities,210
5.1,Southeast,Coho Salmon,112000000,Ind.,Chilkat Chinook Salmon Ethnography,219
5.188305,Southeast,Coho Salmon,112000000,Ind.,Hoonah Lands Partnership,243
4.41,Southeast,Coho Salmon,112000000,Ind.,NPRB Yakutat Comprehensive,251
8.7,Southeast,Coho Salmon [CF Retention],112000001,Ind.,Southeast Timber 1984/1985,13
7.7,Southeast,Coho Salmon [CF Retention],112000001,Ind.,Tongass Resource Use Cooperative Study 1987,15
7,Southeast,Coho Salmon [CF Retention],112000001,Ind.,Haines/Klukwan 1983,49
6.7,Southeast,Coho Salmon [CF Retention],112000001,Ind.,Southeast Timber 1985/1986,50
8,Southeast,Coho Salmon [CF Retention],112000001,Ind.,Southeast Timber 1985/1986,50
5,Southeast,Coho Salmon [CF Retention],112000001,Ind.,Southeast Harvest Update 1996,105
5.44,Southeast,Coho Salmon [CF Retention],112000001,Ind.,Southeast Harvest Update 1996,105
5.44,Southeast,Coho Salmon [CF Retention],112000001,Ind.,Prince of Wales 1997/1998,114
5,Southeast,Coho Salmon [CF Retention],112000001,Ind.,Prince of Wales 1998/1999,125
5.31,Southeast,Coho Salmon [CF Retention],112000001,Ind.,Yakutat Household Survey 2000,137
4.275,Southeast,Coho Salmon [CF Retention],112000001,Ind.,Alaska Peninsula Index Communities,210
4.275,Southeast,Coho Salmon [CF Retention],112000001,Ind.,Index Communities Year 1,210
4.275,Southeast,Coho Salmon [CF Retention],112000001,Ind.,Index Communities Year 2 (Southeast AK),210
4.275,Southeast,Coho Salmon [CF Retention],112000001,Ind.,Southeast Index Communities,210
4.7925,Southeast,Coho Salmon [CF Retention],112000001,Ind.,Alaska Peninsula Index Communities,210
4.7925,Southeast,Coho Salmon [CF Retention],112000001,Ind.,Index Communities Year 1,210
4.7925,Southeast,Coho Salmon [CF Retention],112000001,Ind.,Index Communities Year 2 (Southeast AK),210
4.7925,Southeast,Coho Salmon [CF Retention],112000001,Ind.,Southeast Index Communities,210
5.1,Southeast,Coho Salmon [CF Retention],112000001,Ind.,Chilkat Chinook Salmon Ethnography,219
5.188305,Southeast,Coho Salmon [CF Retention],112000001,Ind.,Hoonah Lands Partnership,243
4.41,Southeast,Coho Salmon [CF Retention],112000001,Ind.,NPRB Yakutat Comprehensive,251
8,Southeast,Coho Salmon [Rod and Reel],112000002,Ind.,Southeast Timber 1984/1985,13
8.7,Southeast,Coho Salmon [Rod and Reel],112000002,Ind.,Southeast Timber 1984/1985,13
7.7,Southeast,Coho Salmon [Rod and Reel],112000002,Ind.,Tongass Resource Use Cooperative Study 1987,15
7,Southeast,Coho Salmon [Rod and Reel],112000002,Ind.,Haines/Klukwan 1983,49
6.7,Southeast,Coho Salmon [Rod and Reel],112000002,Ind.,Southeast Timber 1985/1986,50
8,Southeast,Coho Salmon [Rod and Reel],112000002,Ind.,Southeast Timber 1985/1986,50
5,Southeast,Coho Salmon [Rod and Reel],112000002,Ind.,Southeast Harvest Update 1996,105
5.44,Southeast,Coho Salmon [Rod and Reel],112000002,Ind.,Southeast Harvest Update 1996,105
5.44,Southeast,Coho Salmon [Rod and Reel],112000002,Ind.,Prince of Wales 1997/1998,114
4.68,Southeast,Coho Salmon [Rod and Reel],112000002,Ind.,Prince of Wales 1998/1999,125
5.31,Southeast,Coho Salmon [Rod and Reel],112000002,Ind.,Yakutat Household Survey 2000,137
4.275,Southeast,Coho Salmon [Rod and Reel],112000002,Ind.,Alaska Peninsula Index Communities,210
4.275,Southeast,Coho Salmon [Rod and Reel],112000002,Ind.,Index Communities Year 1,210
4.275,Southeast,Coho Salmon [Rod and Reel],112000002,Ind.,Index Communities Year 2 (Southeast AK),210
4.275,Southeast,Coho Salmon [Rod and Reel],112000002,Ind.,Southeast Index Communities,210
4.7925,Southeast,Coho Salmon [Rod and Reel],112000002,Ind.,Alaska Peninsula Index Communities,210
4.7925,Southeast,Coho Salmon [Rod and Reel],112000002,Ind.,Index Communities Year 1,210
4.7925,Southeast,Coho Salmon [Rod and Reel],112000002,Ind.,Index Communities Year 2 (Southeast AK),210
4.7925,Southeast,Coho Salmon [Rod and Reel],112000002,Ind.,Southeast Index Communities,210
5.1,Southeast,Coho Salmon [Rod and Reel],112000002,Ind.,Chilkat Chinook Salmon Ethnography,219
5.188305,Southeast,Coho Salmon [Rod and Reel],112000002,Ind.,Hoonah Lands Partnership,243
4.41,Southeast,Coho Salmon [Rod and Reel],112000002,Ind.,NPRB Yakutat Comprehensive,251
8,Southeast,Coho Salmon [Other Gear],112000003,Ind.,Southeast Timber 1984/1985,13
8.7,Southeast,Coho Salmon [Other Gear],112000003,Ind.,Southeast Timber 1984/1985,13
7.7,Southeast,Coho Salmon [Other Gear],112000003,Ind.,Tongass Resource Use Cooperative Study 1987,15
7,Southeast,Coho Salmon [Other Gear],112000003,Ind.,Haines/Klukwan 1983,49
6.7,Southeast,Coho Salmon [Other Gear],112000003,Ind.,Southeast Timber 1985/1986,50
8,Southeast,Coho Salmon [Other Gear],112000003,Ind.,Southeast Timber 1985/1986,50
5,Southeast,Coho Salmon [Other Gear],112000003,Ind.,Southeast Harvest Update 1996,105
5.44,Southeast,Coho Salmon [Other Gear],112000003,Ind.,Southeast Harvest Update 1996,105
5.44,Southeast,Coho Salmon [Other Gear],112000003,Ind.,Prince of Wales 1997/1998,114
4.68,Southeast,Coho Salmon [Other Gear],112000003,Ind.,Prince of Wales 1998/1999,125
5.31,Southeast,Coho Salmon [Other Gear],112000003,Ind.,Yakutat Household Survey 2000,137
4.275,Southeast,Coho Salmon [Other Gear],112000003,Ind.,Alaska Peninsula Index Communities,210
4.275,Southeast,Coho Salmon [Other Gear],112000003,Ind.,Index Communities Year 1,210
4.275,Southeast,Coho Salmon [Other Gear],112000003,Ind.,Index Communities Year 2 (Southeast AK),210
4.275,Southeast,Coho Salmon [Other Gear],112000003,Ind.,Southeast Index Communities,210
4.7925,Southeast,Coho Salmon [Other Gear],112000003,Ind.,Alaska Peninsula Index Communities,210
4.7925,Southeast,Coho Salmon [Other Gear],112000003,Ind.,Index Communities Year 1,210
4.7925,Southeast,Coho Salmon [Other Gear],112000003,Ind.,Index Communities Year 2 (Southeast AK),210
4.7925,Southeast,Coho Salmon [Other Gear],112000003,Ind.,Southeast Index Communities,210
5.1,Southeast,Coho Salmon [Other Gear],112000003,Ind.,Chilkat Chinook Salmon Ethnography,219
5.188305,Southeast,Coho Salmon [Other Gear],112000003,Ind.,Hoonah Lands Partnership,243
4.41,Southeast,Coho Salmon [Other Gear],112000003,Ind.,NPRB Yakutat Comprehensive,251
16,Southeast,Chinook Salmon,113000000,Ind.,Southeast Timber 1984/1985,13
16.5,Southeast,Chinook Salmon,113000000,Ind.,Southeast Timber 1984/1985,13
15.3,Southeast,Chinook Salmon,113000000,Ind.,Tongass Resource Use Cooperative Study 1987,15
11.2,Southeast,Chinook Salmon,113000000,Ind.,Haines/Klukwan 1983,49
14.3,Southeast,Chinook Salmon,113000000,Ind.,Southeast Timber 1985/1986,50
14.6,Southeast,Chinook Salmon,113000000,Ind.,Southeast Timber 1985/1986,50
12.68,Southeast,Chinook Salmon,113000000,Ind.,Southeast Harvest Update 1996,105
13,Southeast,Chinook Salmon,113000000,Ind.,Southeast Harvest Update 1996,105
12.68,Southeast,Chinook Salmon,113000000,Ind.,Prince of Wales 1997/1998,114
10.51,Southeast,Chinook Salmon,113000000,Ind.,Prince of Wales 1998/1999,125
11.7288,Southeast,Chinook Salmon,113000000,Ind.,Saxman 1999,133
11.7288,Southeast,Chinook Salmon,113000000,Ind.,Saxman 1999/2000,133
11.73,Southeast,Chinook Salmon,113000000,Ind.,Yakutat Household Survey 2000,137
9.36,Southeast,Chinook Salmon,113000000,Ind.,Alaska Peninsula Index Communities,210
9.36,Southeast,Chinook Salmon,113000000,Ind.,Index Communities Year 1,210
9.36,Southeast,Chinook Salmon,113000000,Ind.,Index Communities Year 2 (Southeast AK),210
9.36,Southeast,Chinook Salmon,113000000,Ind.,Southeast Index Communities,210
9.3888,Southeast,Chinook Salmon,113000000,Ind.,Alaska Peninsula Index Communities,210
9.3888,Southeast,Chinook Salmon,113000000,Ind.,Index Communities Year 1,210
9.3888,Southeast,Chinook Salmon,113000000,Ind.,Index Communities Year 2 (Southeast AK),210
9.3888,Southeast,Chinook Salmon,113000000,Ind.,Southeast Index Communities,210
8.712,Southeast,Chinook Salmon,113000000,Ind.,Chilkat Chinook Salmon Ethnography,219
8.502221,Southeast,Chinook Salmon,113000000,Ind.,Hoonah Lands Partnership,243
7.2432,Southeast,Chinook Salmon,113000000,Ind.,NPRB Yakutat Comprehensive,251
16,Southeast,Chinook Salmon [CF Retention],113000001,Ind.,Southeast Timber 1984/1985,13
16.5,Southeast,Chinook Salmon [CF Retention],113000001,Ind.,Southeast Timber 1984/1985,13
15.3,Southeast,Chinook Salmon [CF Retention],113000001,Ind.,Tongass Resource Use Cooperative Study 1987,15
11.2,Southeast,Chinook Salmon [CF Retention],113000001,Ind.,Haines/Klukwan 1983,49
14.3,Southeast,Chinook Salmon [CF Retention],113000001,Ind.,Southeast Timber 1985/1986,50
14.6,Southeast,Chinook Salmon [CF Retention],113000001,Ind.,Southeast Timber 1985/1986,50
12.68,Southeast,Chinook Salmon [CF Retention],113000001,Ind.,Southeast Harvest Update 1996,105
13,Southeast,Chinook Salmon [CF Retention],113000001,Ind.,Southeast Harvest Update 1996,105
12.68,Southeast,Chinook Salmon [CF Retention],113000001,Ind.,Prince of Wales 1997/1998,114
11,Southeast,Chinook Salmon [CF Retention],113000001,Ind.,Prince of Wales 1998/1999,125
11.73,Southeast,Chinook Salmon [CF Retention],113000001,Ind.,Yakutat Household Survey 2000,137
9.36,Southeast,Chinook Salmon [CF Retention],113000001,Ind.,Alaska Peninsula Index Communities,210
9.36,Southeast,Chinook Salmon [CF Retention],113000001,Ind.,Index Communities Year 1,210
9.36,Southeast,Chinook Salmon [CF Retention],113000001,Ind.,Index Communities Year 2 (Southeast AK),210
9.36,Southeast,Chinook Salmon [CF Retention],113000001,Ind.,Southeast Index Communities,210
9.3888,Southeast,Chinook Salmon [CF Retention],113000001,Ind.,Alaska Peninsula Index Communities,210
9.3888,Southeast,Chinook Salmon [CF Retention],113000001,Ind.,Index Communities Year 1,210
9.3888,Southeast,Chinook Salmon [CF Retention],113000001,Ind.,Index Communities Year 2 (Southeast AK),210
9.3888,Southeast,Chinook Salmon [CF Retention],113000001,Ind.,Southeast Index Communities,210
8.712,Southeast,Chinook Salmon [CF Retention],113000001,Ind.,Chilkat Chinook Salmon Ethnography,219
8.502221,Southeast,Chinook Salmon [CF Retention],113000001,Ind.,Hoonah Lands Partnership,243
7.2432,Southeast,Chinook Salmon [CF Retention],113000001,Ind.,NPRB Yakutat Comprehensive,251
16,Southeast,Chinook Salmon [Rod and Reel],113000002,Ind.,Southeast Timber 1984/1985,13
16.5,Southeast,Chinook Salmon [Rod and Reel],113000002,Ind.,Southeast Timber 1984/1985,13
15.3,Southeast,Chinook Salmon [Rod and Reel],113000002,Ind.,Tongass Resource Use Cooperative Study 1987,15
11.2,Southeast,Chinook Salmon [Rod and Reel],113000002,Ind.,Haines/Klukwan 1983,49
14.3,Southeast,Chinook Salmon [Rod and Reel],113000002,Ind.,Southeast Timber 1985/1986,50
14.6,Southeast,Chinook Salmon [Rod and Reel],113000002,Ind.,Southeast Timber 1985/1986,50
12.68,Southeast,Chinook Salmon [Rod and Reel],113000002,Ind.,Southeast Harvest Update 1996,105
13,Southeast,Chinook Salmon [Rod and Reel],113000002,Ind.,Southeast Harvest Update 1996,105
12.68,Southeast,Chinook Salmon [Rod and Reel],113000002,Ind.,Prince of Wales 1997/1998,114
10.51,Southeast,Chinook Salmon [Rod and Reel],113000002,Ind.,Prince of Wales 1998/1999,125
11.73,Southeast,Chinook Salmon [Rod and Reel],113000002,Ind.,Yakutat Household Survey 2000,137
9.36,Southeast,Chinook Salmon [Rod and Reel],113000002,Ind.,Alaska Peninsula Index Communities,210
9.36,Southeast,Chinook Salmon [Rod and Reel],113000002,Ind.,Index Communities Year 1,210
9.36,Southeast,Chinook Salmon [Rod and Reel],113000002,Ind.,Index Communities Year 2 (Southeast AK),210
9.36,Southeast,Chinook Salmon [Rod and Reel],113000002,Ind.,Southeast Index Communities,210
9.3888,Southeast,Chinook Salmon [Rod and Reel],113000002,Ind.,Alaska Peninsula Index Communities,210
9.3888,Southeast,Chinook Salmon [Rod and Reel],113000002,Ind.,Index Communities Year 1,210
9.3888,Southeast,Chinook Salmon [Rod and Reel],113000002,Ind.,Index Communities Year 2 (Southeast AK),210
9.3888,Southeast,Chinook Salmon [Rod and Reel],113000002,Ind.,Southeast Index Communities,210
8.712,Southeast,Chinook Salmon [Rod and Reel],113000002,Ind.,Chilkat Chinook Salmon Ethnography,219
8.502221,Southeast,Chinook Salmon [Rod and Reel],113000002,Ind.,Hoonah Lands Partnership,243
7.2432,Southeast,Chinook Salmon [Rod and Reel],113000002,Ind.,NPRB Yakutat Comprehensive,251
16,Southeast,Chinook Salmon [Other Gear],113000003,Ind.,Southeast Timber 1984/1985,13
16.5,Southeast,Chinook Salmon [Other Gear],113000003,Ind.,Southeast Timber 1984/1985,13
15.3,Southeast,Chinook Salmon [Other Gear],113000003,Ind.,Tongass Resource Use Cooperative Study 1987,15
11.2,Southeast,Chinook Salmon [Other Gear],113000003,Ind.,Haines/Klukwan 1983,49
12.68,Southeast,Chinook Salmon [Other Gear],113000003,Ind.,Southeast Harvest Update 1996,105
13,Southeast,Chinook Salmon [Other Gear],113000003,Ind.,Southeast Harvest Update 1996,105
12.68,Southeast,Chinook Salmon [Other Gear],113000003,Ind.,Prince of Wales 1997/1998,114
10.51,Southeast,Chinook Salmon [Other Gear],113000003,Ind.,Prince of Wales 1998/1999,125
11.73,Southeast,Chinook Salmon [Other Gear],113000003,Ind.,Yakutat Household Survey 2000,137
9.36,Southeast,Chinook Salmon [Other Gear],113000003,Ind.,Alaska Peninsula Index Communities,210
9.36,Southeast,Chinook Salmon [Other Gear],113000003,Ind.,Index Communities Year 1,210
9.36,Southeast,Chinook Salmon [Other Gear],113000003,Ind.,Index Communities Year 2 (Southeast AK),210
9.36,Southeast,Chinook Salmon [Other Gear],113000003,Ind.,Southeast Index Communities,210
9.3888,Southeast,Chinook Salmon [Other Gear],113000003,Ind.,Alaska Peninsula Index Communities,210
9.3888,Southeast,Chinook Salmon [Other Gear],113000003,Ind.,Index Communities Year 1,210
9.3888,Southeast,Chinook Salmon [Other Gear],113000003,Ind.,Index Communities Year 2 (Southeast AK),210
9.3888,Southeast,Chinook Salmon [Other Gear],113000003,Ind.,Southeast Index Communities,210
8.712,Southeast,Chinook Salmon [Other Gear],113000003,Ind.,Chilkat Chinook Salmon Ethnography,219
8.502221,Southeast,Chinook Salmon [Other Gear],113000003,Ind.,Hoonah Lands Partnership,243
7.2432,Southeast,Chinook Salmon [Other Gear],113000003,Ind.,NPRB Yakutat Comprehensive,251
3,Southeast,Pink Salmon,114000000,Ind.,Southeast Timber 1984/1985,13
3.5,Southeast,Pink Salmon,114000000,Ind.,Southeast Timber 1984/1985,13
2.2,Southeast,Pink Salmon,114000000,Ind.,Tongass Resource Use Cooperative Study 1987,15
2.8,Southeast,Pink Salmon,114000000,Ind.,Haines/Klukwan 1983,49
2.6,Southeast,Pink Salmon,114000000,Ind.,Southeast Timber 1985/1986,50
