"","Taxa_lvl1","Taxa_lvl2","Taxa_lvl3","Taxa_lvl4","Taxa_lvl5","Habitat"
"31","Fish","Non-Salmon Fish","Trout","Trout","Steelhead","Freshwater_Anadromous"
"32","Fish","Non-Salmon Fish","Whitefish","Whitefish","Unknown Whitefish","Freshwater_Anadromous"
"33","Fish","Non-Salmon Fish","Hexagrammidae","Hexagrammidae","Rock Greenling","Marine"
"34","Fish","Non-Salmon Fish","Rockfish","Rockfish","Dusky Rockfish","Marine"
"35","Fish","Non-Salmon Fish","Rockfish","Rockfish","Copper Rockfish","Marine"
"36","Fish","Non-Salmon Fish","Shark","Shark","Dogfish","Marine"
"37","Fish","Non-Salmon Fish","Sole","Sole","Unknown Sole","Marine"
"38","Fish","Non-Salmon Fish","Char","Char","Brook Trout","Freshwater_Anadromous"
"39","Fish","Non-Salmon Fish","Grayling","Grayling","Grayling","Marine"
"40","Fish","Non-Salmon Fish","Trout","Trout","Cutthroat Trout","Freshwater_Anadromous"
"41","Fish","Non-Salmon Fish","Gadiformes","Gadiformes","Gadiformes","Marine"
"42","Fish","Non-Salmon Fish","Flounder","Flounder","Flounder","Marine"
"43","Fish","Non-Salmon Fish","Rockfish","Rockfish","Rockfish","Marine"
"44","Fish","Non-Salmon Fish","Sculpin","Irish Lord","Irish Lord","Marine"
"45","Fish","Non-Salmon Fish","Sole","Sole","Sole","Marine"
"46","Fish","Non-Salmon Fish","Whitefish","Whitefish","Whitefish","Freshwater_Anadromous"
"47","Fish","Non-Salmon Fish","Smelt","Smelt","Smelt","Marine"
"48","Fish","Non-Salmon Fish","Sculpin","Sculpin","Sculpin","Marine"
"49","Fish","Non-Salmon Fish","Perch","Perch","Perch","Marine"
"50","Fish","Non-Salmon Fish","Shark","Shark","Shark","Marine"
"51","Fish","Non-Salmon Fish","Smelt","Smelt","Capelin (grunion)","Marine"
"52","Fish","Non-Salmon Fish","Smelt","Smelt","Surf Smelt","Marine"
"53","Fish","Non-Salmon Fish","Smelt","Smelt","Unknown Smelt","Marine"
"54","Fish","Non-Salmon Fish","Bass","Bass","Unknown Bass","Marine"
"55","Fish","Non-Salmon Fish","Blenny","Blenny","Blenny","Marine"
"56","Fish","Non-Salmon Fish","Gadiformes","Gadiformes","Walleye Pollock (whiting)","Marine"
"57","Fish","Non-Salmon Fish","Gadiformes","Gadiformes","Unknown Gadiformes","Marine"
"58","Fish","Non-Salmon Fish","Lamprey","Lamprey","Lamprey","Marine"
"59","Fish","Non-Salmon Fish","Perch","Perch","Sea Perch","Marine"
"60","Fish","Non-Salmon Fish","Perch","Perch","Unknown Perch","Marine"
"61","Fish","Non-Salmon Fish","Rockfish","Rockfish","Quillback Rockfish","Marine"
"62","Fish","Non-Salmon Fish","Shark","Shark","Salmon Shark","Marine"
"63","Fish","Non-Salmon Fish","Shark","Shark","Unknown Shark","Marine"
"64","Fish","Non-Salmon Fish","Tuna_Mackerel","Tuna_Mackerel","Blue Fin","Marine"
"65","Fish","Non-Salmon Fish","Tuna_Mackerel","Tuna_Mackerel","Mackerel","Marine"
"66","Fish","Non-Salmon Fish","Tuna_Mackerel","Tuna_Mackerel","Unknown Tuna/Mackerel","Marine"
"67","Fish","Non-Salmon Fish","Pike","Pike","Pike","Marine"
"68","Fish","Non-Salmon Fish","Sturgeon","Sturgeon","Green Sturgeon","Marine"
"69","Fish","Non-Salmon Fish","Sturgeon","Sturgeon","White Sturgeon","Marine"
"70","Fish","Non-Salmon Fish","Sturgeon","Sturgeon","Unknown Sturgeon","Marine"
"71","Fish","Non-Salmon Fish","Trout","Trout","Unknown Trout","Freshwater_Anadromous"
"72","Fish","Non-Salmon Fish","Unknown Non-Salmon Fish","Unknown Non-Salmon Fish","Unknown Non-Salmon Fish","Marine"
"73","Fish","Non-Salmon Fish","Hexagrammidae","Hexagrammidae","Kelp Greenling","Marine"
"74","Fish","Non-Salmon Fish","Sculpin","Sculpin","Bullhead Sculpin","Marine"
"75","Fish","Non-Salmon Fish","Char","Char","Arctic Char","Freshwater_Anadromous"
"76","Fish","Non-Salmon Fish","Gadiformes","Gadiformes","Pacific (silver) hake","Marine"
"77","Fish","Non-Salmon Fish","Rockfish","Rockfish","Brown Rockfish","Marine"
"78","Fish","Salmon","Oncorhynchus","Oncorhynchus","Landlocked Salmon","Freshwater_Anadromous"
"79","Fish","Non-Salmon Fish","Hexagrammidae","Hexagrammidae","Unknown Greenling","Marine"
"80","Fish","Non-Salmon Fish","Burbot","Burbot","Burbot","Marine"
"81","Fish","Non-Salmon Fish","Sheefish","Sheefish","Sheefish","Marine"
"82","Land Mammals","Small Land Mammals","Hare","Hare","Hare","Terrestrial"
"83","Land Mammals","Small Land Mammals","Squirrel","Squirrel","Squirrel","Terrestrial"
"84","Land Mammals","Large Land Mammals","Black Bear","Black Bear","Black Bear","Terrestrial"
"85","Land Mammals","Large Land Mammals","Brown Bear","Brown Bear","Brown Bear","Terrestrial"
"86","Land Mammals","Large Land Mammals","Caribou","Caribou","Caribou","Terrestrial"
"87","Land Mammals","Large Land Mammals","Deer","Deer","Deer","Terrestrial"
"88","Land Mammals","Large Land Mammals","Elk","Elk","Elk","Terrestrial"
"89","Land Mammals","Large Land Mammals","Goat","Goat","Goat","Terrestrial"
"90","Land Mammals","Large Land Mammals","Moose","Moose","Moose","Terrestrial"
"91","Land Mammals","Large Land Mammals","Dall Sheep","Dall Sheep","Dall Sheep","Terrestrial"
"92","Land Mammals","Small Land Mammals","Beaver","Beaver","Beaver","Terrestrial"
"93","Land Mammals","Small Land Mammals","Coyote","Coyote","Coyote","Terrestrial"
"94","Land Mammals","Small Land Mammals","Fox","Fox","Red Fox","Terrestrial"
"95","Land Mammals","Small Land Mammals","Hare","Hare","Snowshoe Hare","Terrestrial"
"96","Land Mammals","Small Land Mammals","Hare","Hare","Unknown Hare","Terrestrial"
"97","Land Mammals","Small Land Mammals","Land Otter","Land Otter","Land Otter","Terrestrial"
"98","Land Mammals","Small Land Mammals","Lynx","Lynx","Lynx","Terrestrial"
"99","Land Mammals","Small Land Mammals","Marmot","Marmot","Marmot","Terrestrial"
"100","Land Mammals","Small Land Mammals","Marten","Marten","Marten","Terrestrial"
"101","Land Mammals","Small Land Mammals","Mink","Mink","Mink","Terrestrial"
"102","Land Mammals","Small Land Mammals","Muskrat","Muskrat","Muskrat","Terrestrial"
"103","Land Mammals","Small Land Mammals","Porcupine","Porcupine","Porcupine","Terrestrial"
"104","Land Mammals","Small Land Mammals","Squirrel","Squirrel","Tree Squirrel","Terrestrial"
"105","Land Mammals","Small Land Mammals","Squirrel","Squirrel","Unknown Squirrel","Terrestrial"
"106","Land Mammals","Small Land Mammals","Weasel","Weasel","Weasel","Terrestrial"
"107","Land Mammals","Small Land Mammals","Wolf","Wolf","Wolf","Terrestrial"
"108","Land Mammals","Small Land Mammals","Wolverine","Wolverine","Wolverine","Terrestrial"
"109","Land Mammals","Large Land Mammals","Muskox","Muskox","Muskox","Terrestrial"
"110","Land Mammals","Large Land Mammals","Bison","Bison","Bison","Terrestrial"
"111","Land Mammals","Large Land Mammals","Unknown Large Land Mammal","Unknown Large Land Mammal","Unknown Large Land Mammal","Terrestrial"
"112","Land Mammals","Small Land Mammals","Unknown Small Land Mammals/Furbearers","Unknown Small Land Mammals/Furbearers","Unknown Small Land Mammals/Furbearers","Terrestrial"
"113","Land Mammals","Small Land Mammals","Squirrel","Squirrel","Flying Squirrel","Terrestrial"
"114","Marine Mammals","Marine Mammals","Seal","Seal","Seal","Marine"
"115","Marine Mammals","Marine Mammals","Seal","Seal","Fur Seal","Marine"
"116","Marine Mammals","Marine Mammals","Seal","Seal","Harbor Seal","Marine"
"117","Marine Mammals","Marine Mammals","Sea Otter","Sea Otter","Sea Otter","Marine"
"118","Marine Mammals","Marine Mammals","Stellar Sea Lion","Stellar Sea Lion","Stellar Sea Lion","Marine"
"119","Marine Mammals","Marine Mammals","Whale","Whale","Belukha","Marine"
"120","Marine Mammals","Marine Mammals","Whale","Whale","Bowhead","Marine"
"121","Marine Mammals","Marine Mammals","Unknown Marine Mammals","Unknown Marine Mammals","Unknown Marine Mammals","Marine"
"122","Marine Mammals","Marine Mammals","Seal","Seal","Unknown Seal","Marine"
"123","Marine Mammals","Marine Mammals","Whale","Whale","Unknown Whale","Marine"
"124","Marine Mammals","Marine Mammals","Seal","Seal","Unknown Seal Oil","Marine"
"125","Marine Mammals","Marine Mammals","Walrus","Walrus","Walrus","Marine"
"126","Birds and Eggs","Migratory Birds","Duck","Duck","Duck","Terrestrial"
"127","Birds and Eggs","Migratory Birds","Crane","Crane","Crane","Terrestrial"
"128","Birds and Eggs","Migratory Birds","Seabirds and Loons","Seabirds and Loons","Seabirds and Loons","Terrestrial"
"129","Birds and Eggs","Other Birds","Upland Game Birds","Upland Game Birds","Upland Game Birds","Terrestrial"
"130","Birds and Eggs","Bird Eggs","Duck Eggs","Duck Eggs","Duck Eggs","Terrestrial"
"131","Birds and Eggs","Bird Eggs","Geese Eggs","Geese Eggs","Geese Eggs","Terrestrial"
"132","Birds and Eggs","Bird Eggs","Crane Eggs","Crane Eggs","Crane Eggs","Terrestrial"
"133","Birds and Eggs","Bird Eggs","Seabirds and Loon Eggs","Seabirds and Loon Eggs","Seabirds and Loon Eggs","Terrestrial"
"134","Birds and Eggs","Bird Eggs","Upland Game Bird Eggs","Upland Game Bird Eggs","Upland Game Bird Eggs","Terrestrial"
"135","Birds and Eggs","Bird Eggs","Unknown Eggs","Unknown Eggs","Unknown Eggs","Terrestrial"
"136","Birds and Eggs","Migratory Birds","Geese","Geese","Geese","Terrestrial"
"137","Birds and Eggs","Migratory Birds","Swan","Swan","Swan","Terrestrial"
"138","Birds and Eggs","Other Birds","Unknown Other Birds","Unknown Other Birds","Unknown Other Birds","Terrestrial"
"139","Birds and Eggs","Migratory Birds","Duck","Goldeneye","Goldeneye","Terrestrial"
"140","Birds and Eggs","Migratory Birds","Duck","Scaup","Scaup","Terrestrial"
"141","Birds and Eggs","Migratory Birds","Duck","Teal","Teal","Terrestrial"
"142","Birds and Eggs","Migratory Birds","Duck","Wigeon","Wigeon","Terrestrial"
"143","Birds and Eggs","Migratory Birds","Geese","Canada Geese","Canada Geese","Terrestrial"
"144","Birds and Eggs","Migratory Birds","Seabirds and Loons","Grebe","Grebe","Terrestrial"
"145","Birds and Eggs","Other Birds","Upland Game Birds","Grouse","Grouse","Terrestrial"
"146","Birds and Eggs","Other Birds","Upland Game Birds","Ptarmigan","Ptarmigan","Terrestrial"
"147","Birds and Eggs","Migratory Birds","Shorebird","Unknown Shorebirds","Unknown Shorebirds","Terrestrial"
"148","Birds and Eggs","Migratory Birds","Duck","Bufflehead","Bufflehead","Terrestrial"
"149","Birds and Eggs","Migratory Birds","Duck","Goldeneye","Barrows Goldeneye","Terrestrial"
"150","Birds and Eggs","Migratory Birds","Duck","Goldeneye","Common Goldeneye","Terrestrial"
"151","Birds and Eggs","Migratory Birds","Duck","Harlequin","Harlequin","Terrestrial"
"152","Birds and Eggs","Migratory Birds","Duck","Mallard","Mallard","Terrestrial"
"153","Birds and Eggs","Migratory Birds","Duck","Merganser","Common Merganser","Terrestrial"
"154","Birds and Eggs","Migratory Birds","Duck","Merganser","Red-Breasted Merganser","Terrestrial"
"155","Birds and Eggs","Migratory Birds","Duck","Merganser","Unknown Merganser","Terrestrial"
"156","Birds and Eggs","Migratory Birds","Duck","Long-tailed Duck (Oldsquaw)","Long-tailed Duck (Oldsquaw)","Terrestrial"
"157","Birds and Eggs","Migratory Birds","Duck","Northern Pintail","Northern Pintail","Terrestrial"
"158","Birds and Eggs","Migratory Birds","Duck","Scaup","Greater Scaup","Terrestrial"
"159","Birds and Eggs","Migratory Birds","Duck","Scaup","Lesser Scaup","Terrestrial"
"160","Birds and Eggs","Migratory Birds","Duck","Scaup","Unknown Scaup","Terrestrial"
"161","Birds and Eggs","Migratory Birds","Duck","Scoter","Surf Scoter","Terrestrial"
"162","Birds and Eggs","Migratory Birds","Duck","Scoter","White-winged Scoter","Terrestrial"
"163","Birds and Eggs","Migratory Birds","Duck","Scoter","Unknown Scoter","Terrestrial"
"164","Birds and Eggs","Migratory Birds","Duck","Teal","Green-Winged Teal","Terrestrial"
"165","Birds and Eggs","Migratory Birds","Duck","Teal","Unknown Teal","Terrestrial"
"166","Birds and Eggs","Migratory Birds","Duck","Wigeon","American Wigeon","Terrestrial"
"167","Birds and Eggs","Migratory Birds","Duck","Wigeon","Unknown Wigeon","Terrestrial"
"168","Birds and Eggs","Migratory Birds","Duck","Unknown Duck","Unknown Duck","Terrestrial"
"169","Birds and Eggs","Migratory Birds","Geese","Brant","Brant","Terrestrial"
"170","Birds and Eggs","Migratory Birds","Geese","Canada Geese","Vancouver Canada Geese","Terrestrial"
"171","Birds and Eggs","Migratory Birds","Geese","Canada Geese","Unknown Canada Geese","Terrestrial"
"172","Birds and Eggs","Migratory Birds","Geese","Emperor Geese","Emperor Geese","Terrestrial"
"173","Birds and Eggs","Migratory Birds","Geese","Snow Geese","Snow Geese","Terrestrial"
"174","Birds and Eggs","Migratory Birds","Geese","White-fronted Geese","White-fronted Geese","Terrestrial"
"175","Birds and Eggs","Migratory Birds","Geese","Unknown Geese","Unknown Geese","Terrestrial"
"176","Birds and Eggs","Migratory Birds","Swan","Tundra Swan (whistling)","Tundra Swan (whistling)","Terrestrial"
"177","Birds and Eggs","Migratory Birds","Swan","Unknown Swan","Unknown Swan","Terrestrial"
"178","Birds and Eggs","Migratory Birds","Crane","Sandhill Crane","Sandhill Crane","Terrestrial"
"179","Birds and Eggs","Migratory Birds","Shorebird","Wilson's Snipe","Wilson's Snipe","Terrestrial"
"180","Birds and Eggs","Migratory Birds","Shorebird","Black Oystercatcher","Black Oystercatcher","Terrestrial"
"181","Birds and Eggs","Migratory Birds","Shorebird","Unknown Shorebirds","Unknown Small Shorebirds","Terrestrial"
"182","Birds and Eggs","Migratory Birds","Shorebird","Unknown Shorebirds","Unknown Large Shorebirds","Terrestrial"
"183","Birds and Eggs","Migratory Birds","Seabirds and Loons","Cormorants","Cormorants","Terrestrial"
"184","Birds and Eggs","Migratory Birds","Seabirds and Loons","Grebe","Horned Grebe","Terrestrial"
"185","Birds and Eggs","Migratory Birds","Seabirds and Loons","Grebe","Red Necked Grebe","Terrestrial"
"186","Birds and Eggs","Migratory Birds","Seabirds and Loons","Gull","Gull","Terrestrial"
"187","Birds and Eggs","Migratory Birds","Seabirds and Loons","Loon","Loon","Terrestrial"
"188","Birds and Eggs","Migratory Birds","Seabirds and Loons","Loon","Unknown Loon","Terrestrial"
"189","Birds and Eggs","Migratory Birds","Seabirds and Loons","Puffin","Puffin","Terrestrial"
"190","Birds and Eggs","Migratory Birds","Seabirds and Loons","Puffin","Unknown Puffin","Terrestrial"
"191","Birds and Eggs","Migratory Birds","Seabirds and Loons","Tern","Tern","Terrestrial"
"192","Birds and Eggs","Migratory Birds","Seabirds and Loons","Unknown Seabirds","Unknown Seabird","Terrestrial"
"193","Birds and Eggs","Migratory Birds","Heron","Great Blue Heron","Great Blue Heron","Terrestrial"
"194","Birds and Eggs","Other Birds","Upland Game Birds","Ptarmigan","Rock Ptarmigan","Terrestrial"
"195","Birds and Eggs","Other Birds","Upland Game Birds","Ptarmigan","Willow Ptarmigan","Terrestrial"
"196","Birds and Eggs","Other Birds","Upland Game Birds","Ptarmigan","Unknown Ptarmigan","Terrestrial"
"197","Birds and Eggs","Other Birds","Upland Game Birds","Unknown Upland Game Birds","Unknown Upland Game Birds","Terrestrial"
"198","Birds and Eggs","Bird Eggs","Duck Eggs","Mallard Eggs","Mallard Eggs","Terrestrial"
"199","Birds and Eggs","Bird Eggs","Duck Eggs","Unknown Duck Eggs","Unknown Duck Eggs","Terrestrial"
"200","Birds and Eggs","Bird Eggs","Geese Eggs","Canada Geese Eggs","Unknown Canada Geese Eggs","Terrestrial"
"201","Birds and Eggs","Bird Eggs","Geese Eggs","Unknown Geese Eggs","Unknown Geese Eggs","Terrestrial"
"202","Birds and Eggs","Bird Eggs","Swan Eggs","Swan Eggs","Swan Eggs","Terrestrial"
"203","Birds and Eggs","Bird Eggs","Swan Eggs","Unknown Swan Eggs","Unknown Swan Eggs","Terrestrial"
"204","Birds and Eggs","Bird Eggs","Crane Eggs","Sandhill Crane Eggs","Sandhill Crane Eggs","Terrestrial"
"205","Birds and Eggs","Bird Eggs","Shorebird Eggs","Black Oystercatcher Eggs","Black Oystercatcher Eggs","Terrestrial"
"206","Birds and Eggs","Bird Eggs","Shorebird Eggs","Unknown Small Shorebird Eggs","Unknown Small Shorebird Eggs","Terrestrial"
"207","Birds and Eggs","Bird Eggs","Shorebird Eggs","Unknown Large Shorebird Eggs","Unknown Large Shorebird Eggs","Terrestrial"
"208","Birds and Eggs","Bird Eggs","Seabirds and Loon Eggs","Guillemot Eggs","Guillemot Eggs","Terrestrial"
"209","Birds and Eggs","Bird Eggs","Seabirds and Loon Eggs","Glaucous Winged Gull Eggs","Glaucous Winged Gull Eggs","Terrestrial"
"210","Birds and Eggs","Bird Eggs","Seabirds and Loon Eggs","Unknown Gull Eggs","Unknown Gull Eggs","Terrestrial"
"211","Birds and Eggs","Bird Eggs","Seabirds and Loon Eggs","Loon Eggs","Loon Eggs","Terrestrial"
"212","Birds and Eggs","Bird Eggs","Seabirds and Loon Eggs","Unknown Loon Eggs","Unknown Loon Eggs","Terrestrial"
"213","Birds and Eggs","Bird Eggs","Seabirds and Loon Eggs","Common Murre Eggs","Common Murre Eggs","Terrestrial"
"214","Birds and Eggs","Bird Eggs","Seabirds and Loon Eggs","Tern Eggs","Tern Eggs","Terrestrial"
"215","Birds and Eggs","Bird Eggs","Seabirds and Loon Eggs","Unknown Tern Eggs","Unknown Tern Eggs","Terrestrial"
"216","Birds and Eggs","Bird Eggs","Seabirds and Loon Eggs","Unknown Seabird Eggs","Unknown Seabird Eggs","Terrestrial"
"217","Birds and Eggs","Bird Eggs","Upland Game Bird Eggs","Grouse Eggs","Grouse Eggs","Terrestrial"
"218","Birds and Eggs","Bird Eggs","Upland Game Bird Eggs","Ptarmigan Eggs","Ptarmigan Eggs","Terrestrial"
"219","Birds and Eggs","Bird Eggs","Upland Game Bird Eggs","Unknown Ptarmigan Eggs","Unknown Ptarmigan Eggs","Terrestrial"
"220","Birds and Eggs","Migratory Birds","Seabirds and Loons","Grebe","Unknown Grebe","Terrestrial"
"221","Birds and Eggs","Migratory Birds","Duck","Gadwall","Gadwall","Terrestrial"
"222","Birds and Eggs","Migratory Birds","Duck","Goldeneye","Unknown Goldeneye","Terrestrial"
"223","Birds and Eggs","Migratory Birds","Duck","Canvasback","Canvasback","Terrestrial"
"224","Birds and Eggs","Other Birds","Upland Game Birds","Grouse","Spruce Grouse","Terrestrial"
"225","Birds and Eggs","Other Birds","Upland Game Birds","Grouse","Ruffed Grouse","Terrestrial"
"226","Birds and Eggs","Other Birds","Upland Game Birds","Grouse","Unknown Grouse","Terrestrial"
"227","Birds and Eggs","Migratory Birds","Duck","Redhead Duck","Redhead Duck","Terrestrial"
"228","Birds and Eggs","Migratory Birds","Geese","Canada Geese","Lesser Canada Geese","Terrestrial"
"229","Birds and Eggs","Migratory Birds","Seabirds and Loons","Guillemot","Guillemot","Terrestrial"
"230","Birds and Eggs","Bird Eggs","Geese Eggs","Canada Geese Eggs","Lesser Canada Geese Eggs","Terrestrial"
"231","Birds and Eggs","Migratory Birds","Geese","Canada Geese","Dusky Canada Geese","Terrestrial"
"232","Birds and Eggs","Bird Eggs","Crane Eggs","Unknown Crane Eggs","Unknown Crane Eggs","Terrestrial"
"233","Marine Invertebrates","Marine Invertebrates","Chiton","Chiton","Chiton","Nearshore"
"234","Marine Invertebrates","Marine Invertebrates","Clam","Clam","Clam","Nearshore"
"235","Marine Invertebrates","Marine Invertebrates","Limpet","Limpet","Limpet","Nearshore"
"236","Marine Invertebrates","Marine Invertebrates","Mussel","Mussel","Mussel","Nearshore"
"237","Marine Invertebrates","Marine Invertebrates","Scallop","Scallop","Scallop","Marine"
"238","Marine Invertebrates","Marine Invertebrates","Sea Cucumber","Sea Cucumber","Sea Cucumber","Nearshore"
"239","Marine Invertebrates","Marine Invertebrates","Sea Urchin","Sea Urchin","Sea Urchin","Nearshore"
"240","Marine Invertebrates","Marine Invertebrates","Cockle","Cockle","Cockle","Nearshore"
"241","Marine Invertebrates","Marine Invertebrates","Crab","King Crab","King Crab","Marine"
"242","Marine Invertebrates","Marine Invertebrates","Crab","Tanner Crab","Tanner Crab",NA
"243","Marine Invertebrates","Marine Invertebrates","Abalone","Abalone","Abalone","Nearshore"
"244","Marine Invertebrates","Marine Invertebrates","Chiton","Red (large) Chiton","Red (large) Chiton","Nearshore"
"245","Marine Invertebrates","Marine Invertebrates","Chiton","Black (small) Chiton","Black (small) Chiton","Nearshore"
"246","Marine Invertebrates","Marine Invertebrates","Clam","Butter Clam","Butter Clam","Nearshore"
"247","Marine Invertebrates","Marine Invertebrates","Clam","Horse Clam","Horse Clam","Nearshore"
"248","Marine Invertebrates","Marine Invertebrates","Clam","Pacific Littleneck Clam","Pacific Littleneck Clam","Nearshore"
"249","Marine Invertebrates","Marine Invertebrates","Clam","Razor Clam","Razor Clam","Nearshore"
"250","Marine Invertebrates","Marine Invertebrates","Clam","Unknown Clam","Unknown Clam","Nearshore"
"251","Marine Invertebrates","Marine Invertebrates","Cockle","Basket Cockle","Basket Cockle","Nearshore"
"252","Marine Invertebrates","Marine Invertebrates","Cockle","Heart Cockle","Heart Cockle","Nearshore"
"253","Marine Invertebrates","Marine Invertebrates","Cockle","Unknown Cockle","Unknown Cockle","Nearshore"
"254","Marine Invertebrates","Marine Invertebrates","Crab","Box Crab","Box Crab","Marine"
"255","Marine Invertebrates","Marine Invertebrates","Crab","Dungeness Crab","Dungeness Crab","Nearshore"
"256","Marine Invertebrates","Marine Invertebrates","Crab","King Crab","Blue King Crab","Marine"
"257","Marine Invertebrates","Marine Invertebrates","Crab","King Crab","Brown King Crab","Marine"
"258","Marine Invertebrates","Marine Invertebrates","Crab","King Crab","Red King Crab","Marine"
"259","Marine Invertebrates","Marine Invertebrates","Crab","King Crab","Unknown King Crab","Marine"
"260","Marine Invertebrates","Marine Invertebrates","Crab","Tanner Crab","Unknown Tanner Crab","Marine"
"261","Marine Invertebrates","Marine Invertebrates","Crab","Unknown Crab","Unknown Crab","Marine"
"262","Marine Invertebrates","Marine Invertebrates","Clam","Geoduck Clam","Geoduck Clam","Nearshore"
"263","Marine Invertebrates","Marine Invertebrates","Mussel","Blue Mussel","Blue Mussel","Nearshore"
"264","Marine Invertebrates","Marine Invertebrates","Mussel","Unknown Mussel","Unknown Mussel","Nearshore"
"265","Marine Invertebrates","Marine Invertebrates","Octopus","Octopus","Octopus","Marine"
"266","Marine Invertebrates","Marine Invertebrates","Oyster","Oyster","Oyster","Marine"
"267","Marine Invertebrates","Marine Invertebrates","Scallop","Weathervane Scallop","Weathervane Scallop","Marine"
"268","Marine Invertebrates","Marine Invertebrates","Scallop","Rock Scallops","Rock Scallops","Marine"
"269","Marine Invertebrates","Marine Invertebrates","Scallop","Unknown Scallop","Unknown Scallop","Marine"
"270","Marine Invertebrates","Marine Invertebrates","Sea Cucumber","Yein Sea Cucumber","Yein Sea Cucumber","Nearshore"
"271","Marine Invertebrates","Marine Invertebrates","Sea Cucumber","Unknown Sea Cucumber","Unknown Sea Cucumber","Nearshore"
"272","Marine Invertebrates","Marine Invertebrates","Sea Urchin","Green Sea Urchin","Green Sea Urchin","Nearshore"
"273","Marine Invertebrates","Marine Invertebrates","Sea Urchin","Red Sea Urchin","Red Sea Urchin","Nearshore"
"274","Marine Invertebrates","Marine Invertebrates","Sea Urchin","Unknown Sea Urchin","Unknown Sea Urchin","Nearshore"
"275","Marine Invertebrates","Marine Invertebrates","Shrimp","Shrimp","Shrimp","Marine"
"276","Marine Invertebrates","Marine Invertebrates","Starfish","Starfish","Starfish","Nearshore"
"277","Marine Invertebrates","Marine Invertebrates","Squid","Squid","Squid","Marine"
"278","Marine Invertebrates","Marine Invertebrates","Whelk","Whelk","Whelk","Nearshore"
"279","Marine Invertebrates","Marine Invertebrates","Unknown Marine Invertebrates","Unknown Marine Invertebrates","Unknown Marine Invertebrates","Marine"
"280","Marine Invertebrates","Marine Invertebrates","Chiton","Unknown Chiton","Unknown Chiton","Nearshore"
"281","Marine Invertebrates","Marine Invertebrates","Crab","Tanner Crab","Tanner Crab, Bairdi","Marine"
"282","Marine Invertebrates","Marine Invertebrates","Clam","Pinkneck Clam","Pinkneck Clam","Nearshore"
"283","Marine Invertebrates","Marine Invertebrates","Oyster","Unknown Oyster","Unknown Oyster","Marine"
"284","Vegetation","Vegetation","Berries","Berries","Berries","Terrestrial"
"285","Vegetation","Vegetation","Plants/Greens","Plants/Greens","Plants/Greens","Terrestrial"
