"","Project_Name","Site_Year_Code","Habitat","Taxa_lvl1","Taxa_lvl2","Taxa_lvl3","Taxa_lvl4","Taxa_lvl5","Resource_Code","Resource_Name","Sampled_households","Est_Num_Community_Households","Sampled_Population","Est_Comm_Population","Most_Rep_Year","Conversion_Units_To_Pounds","Resource_Harvest_Units","Percent_Using","Percent_Attempting_to_Harvest","Percent_Harvesting","Percent_Receiving","Percent_Giving","Reported_Pounds_Harvested","Estimated_Total_Pounds_Harvested","Lower_Pounds_Harvested","Upper_Pounds_Harvested","Mean_Pounds_Per_Household","Percapita_Pounds_Harvested","Number_Of_Resource_Harvested","Estimated_Amount_Harvested","Percent_Of_Total_Harvest","Mean_Grams_Per_Capita_Use","Mean_Pounds_Per_Capita_Use","Mean_Grams_Percapita_Harvest"
"12","MMSII 1993","Chenega_1993","Freshwater_Anadromous","Fish","Non-Salmon Fish","Pike","Pike","Pike","125400000","Pike",23,28,83,101,"No",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13","MMSII 1991","Chenega_1991","Freshwater_Anadromous","Fish","Non-Salmon Fish","Sheefish","Sheefish","Sheefish","125600000","Sheefish",18,22,66,80.7,"No",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"14","MMSII 1992","Chenega_1992","Freshwater_Anadromous","Fish","Non-Salmon Fish","Sheefish","Sheefish","Sheefish","125600000","Sheefish",23,26,80,90.4,"No",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"15","MMSII 1993","Chenega_1993","Freshwater_Anadromous","Fish","Non-Salmon Fish","Sheefish","Sheefish","Sheefish","125600000","Sheefish",23,28,83,101,"No",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"16","Chenega/San Juan Bay 1984","Chenega_1984","Freshwater_Anadromous","Fish","Non-Salmon Fish","Sturgeon","Sturgeon","Sturgeon","125800000","Sturgeon",16,16,57,57,"No",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"17","MMSII 1991","Chenega_1991","Freshwater_Anadromous","Fish","Non-Salmon Fish","Sturgeon","Sturgeon","Sturgeon","125800000","Sturgeon",18,22,66,80.7,"No",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"18","MMSII 1992","Chenega_1992","Freshwater_Anadromous","Fish","Non-Salmon Fish","Sturgeon","Sturgeon","Sturgeon","125800000","Sturgeon",23,26,80,90.4,"No",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"19","MMSII 1993","Chenega_1993","Freshwater_Anadromous","Fish","Non-Salmon Fish","Sturgeon","Sturgeon","Sturgeon","125800000","Sturgeon",23,28,83,101,"No",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"20","Chenega/San Juan Bay 1984","Chenega_1984","Freshwater_Anadromous","Fish","Non-Salmon Fish","Whitefish","Whitefish","Whitefish","126400000","Whitefish",16,16,57,57,"No",NA,NA,0.063,0,0,0.063,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"21","Upper Kenai 1990","Cooper Landing_1990","Marine","Fish","Non-Salmon Fish","Flounder","Flounder","Flounder","121400000","Flounder",61,99,169,257.5,"Yes",NA,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,NA,NA,NA
"22","Upper Kenai 1990","Cooper Landing_1990","Marine","Fish","Non-Salmon Fish","Sculpin","Irish Lord","Irish Lord","123006000","Irish Lord",61,99,169,257.5,"Yes",NA,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,NA,NA,NA
"23","Upper Kenai 1990","Cooper Landing_1990","Marine","Fish","Non-Salmon Fish","Shark","Shark","Shark","123200000","Shark",61,99,169,257.5,"Yes",NA,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,NA,NA,NA
"24","Upper Kenai 1990","Cooper Landing_1990","Marine","Fish","Non-Salmon Fish","Sole","Sole","Sole","123600000","Sole",61,99,169,257.5,"Yes",NA,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,NA,NA,NA
"25","Upper Kenai 1990","Cooper Landing_1990","Marine","Fish","Non-Salmon Fish","Tuna_Mackerel","Tuna_Mackerel","Tuna_Mackerel","124000000","Tuna/Mackerel",61,99,169,257.5,"Yes",NA,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,NA,NA,NA
"26","Upper Kenai 1990","Cooper Landing_1990","Freshwater_Anadromous","Fish","Non-Salmon Fish","Pike","Pike","Pike","125400000","Pike",61,99,169,257.5,"Yes",3,"Ind.",0.024,0.024,0.024,0,0,NA,11,9,13,0.11,0.04,NA,4,4.668336e-06,2.071187,1.6666665,0.049708493
"27","Upper Kenai 1990","Cooper Landing_1990","Freshwater_Anadromous","Fish","Non-Salmon Fish","Whitefish","Whitefish","Whitefish","126400000","Whitefish",61,99,169,257.5,"Yes",0.9,"Ind.",0.058000002,0.058000002,0.058000002,0.022,0.024,NA,39,8,69,0.39,0.15,NA,43,1.6551372e-05,3.2139113,2.586207,0.18640685
"28","Cordova 1985","Cordova_1985","Freshwater_Anadromous","Fish","Non-Salmon Fish","Smelt","Smelt","Smelt","120400000","Smelt",206,853,547,2265,"No",3.5,"Gal.",0.301,0.189,0.17,0.155,0.126,756,3130,1950,4310,3.67,1.38,216,894,8.435271e-05,5.697485,4.5847178,1.714943
"29","Cordova 1985","Cordova_1985","Marine","Fish","Non-Salmon Fish","Flounder","Flounder","Flounder","121400000","Flounder",206,853,547,2265,"No",3,"Ind.",0.053000003,0.058000002,0.049000002,0.005,0,252,1043,265,1821,1.223,0.46,84,348,2.8108587e-05,10.785805,8.679245,0.5716477
"30","Cordova 1988","Cordova_1988","Marine","Fish","Non-Salmon Fish","Flounder","Flounder","Flounder","121400000","Flounder",101,872,299,2407.4,"No",3,"Ind.",0.125,0.125,0.125,0.021,0.009,NA,2601,1713,3489,2.98,1.08,NA,867,4.621847e-05,10.737035,8.64,1.3421293
"31","Cordova 1988","Cordova_1988","Marine","Fish","Non-Salmon Fish","Sculpin","Sculpin","Sculpin","123000000","Sculpin",101,872,299,2407.4,"No",0.5,"Ind.",0.008,0.008,0.008,0,0,NA,83,-221,388,0.1,0.03,NA,167,1.4748687e-06,4.660171,3.7499998,0.037281368
"32","MMSII 1993","Cordova_1993","Marine","Fish","Non-Salmon Fish","Sculpin","Irish Lord","Irish Lord","123006000","Irish Lord",104,946,326,2965.4,"No",0.5,"Ind.",0.019,0.019,0.019,0,0,6,55,-15,125,0.058,0.02,12,109,1.4513405e-06,1.3081182,1.0526316,0.024854247
"33","Cordova 1985","Cordova_1985","Marine","Fish","Non-Salmon Fish","Shark","Shark","Shark","123200000","Shark",206,853,547,2265,"No",NA,NA,0.01,0,0,0.01,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"34","Cordova 1988","Cordova_1988","Marine","Fish","Non-Salmon Fish","Shark","Shark","Shark","123200000","Shark",101,872,299,2407.4,"No",9,"Ind.",0.008,0.008,0.008,NA,0,NA,63,50,75,0.07,0.03,NA,7,1.1194785e-06,4.660171,3.7499998,0.037281368
"35","Cordova 1985","Cordova_1985","Marine","Fish","Non-Salmon Fish","Sole","Sole","Sole","123600000","Sole",206,853,547,2265,"No",2,"Ind.",0.044,0.044,0.034,0.01,0,138,571,66,1076,0.67,0.25,69,286,1.5388307e-05,7.0608654,5.681818,0.3106781
"36","Cordova 1988","Cordova_1988","Marine","Fish","Non-Salmon Fish","Sole","Sole","Sole","123600000","Sole",101,872,299,2407.4,"No",2,"Ind.",0.016,0.016,0.016,0,0,NA,223,63,383,0.26,0.09,NA,111,3.962599e-06,6.990257,5.625,0.111844115
"37","MMSII 1992","Cordova_1992","Marine","Fish","Non-Salmon Fish","Sole","Sole","Sole","123600000","Sole",41,784,140,2677.1,"No",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"38","EVOSTC Gulf of Alaska 1997","Cordova_1997","Marine","Fish","Non-Salmon Fish","Tuna_Mackerel","Tuna_Mackerel","Tuna_Mackerel","124000000","Tuna/Mackerel",152,830,449,2507.1,"No",0,"Ind.",0.008,0,0,0.008,0.008,NA,0,0,0,0,0,NA,0,0,NA,NA,NA
"39","MMSII 1991","Cordova_1991","Freshwater_Anadromous","Fish","Non-Salmon Fish","Pike","Pike","Pike","125400000","Pike",101,784,295,2289.9,"No",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"40","MMSII 1992","Cordova_1992","Freshwater_Anadromous","Fish","Non-Salmon Fish","Pike","Pike","Pike","125400000","Pike",41,784,140,2677.1,"No",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"41","MMSII 1993","Cordova_1993","Freshwater_Anadromous","Fish","Non-Salmon Fish","Pike","Pike","Pike","125400000","Pike",104,946,326,2965.4,"No",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"42","MMSII 1991","Cordova_1991","Freshwater_Anadromous","Fish","Non-Salmon Fish","Sheefish","Sheefish","Sheefish","125600000","Sheefish",101,784,295,2289.9,"No",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"43","MMSII 1992","Cordova_1992","Freshwater_Anadromous","Fish","Non-Salmon Fish","Sheefish","Sheefish","Sheefish","125600000","Sheefish",41,784,140,2677.1,"No",NA,NA,0.024,0,0,0.024,0.024,0,0,0,0,0,0,0,0,0,NA,NA,NA
"44","MMSII 1993","Cordova_1993","Freshwater_Anadromous","Fish","Non-Salmon Fish","Sheefish","Sheefish","Sheefish","125600000","Sheefish",104,946,326,2965.4,"No",NA,NA,0.01,0.01,0,0.01,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"45","EVOSTC Gulf of Alaska 1997","Cordova_1997","Freshwater_Anadromous","Fish","Non-Salmon Fish","Sheefish","Sheefish","Sheefish","125600000","Sheefish",152,830,449,2507.1,"No",0,"Ind.",0.004,0,0,0.004,0.004,NA,0,0,0,0,0,NA,0,0,NA,NA,NA
"46","Cordova 1985","Cordova_1985","Freshwater_Anadromous","Fish","Non-Salmon Fish","Sturgeon","Sturgeon","Sturgeon","125800000","Sturgeon",206,853,547,2265,"No",1,"lb.",0.034,0.01,0.01,0.024,0.015,110,455,-195,1105,0.534,0.2,110,455,1.2262135e-05,7.3100724,5.882353,0.24854247
"47","Cordova 1988","Cordova_1988","Freshwater_Anadromous","Fish","Non-Salmon Fish","Sturgeon","Sturgeon","Sturgeon","125800000","Sturgeon",101,872,299,2407.4,"No",1,"lb.",0.025,0.008,0.008,0.017,0.024,NA,104,-86,295,0.12,0.04,NA,104,1.8480282e-06,1.9883397,1.5999999,0.049708493
"48","MMSII 1991","Cordova_1991","Freshwater_Anadromous","Fish","Non-Salmon Fish","Sturgeon","Sturgeon","Sturgeon","125800000","Sturgeon",101,784,295,2289.9,"No",34,"Ind.",0.02,0.02,0.02,0,0.01,68,528,-151,1207,0.673,0.23,2,16,1.21890125e-05,14.291192,11.5,0.28582385
"49","MMSII 1992","Cordova_1992","Freshwater_Anadromous","Fish","Non-Salmon Fish","Sturgeon","Sturgeon","Sturgeon","125800000","Sturgeon",41,784,140,2677.1,"No",NA,NA,0.024,0,0,0.024,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"50","MMSII 1993","Cordova_1993","Freshwater_Anadromous","Fish","Non-Salmon Fish","Sturgeon","Sturgeon","Sturgeon","125800000","Sturgeon",104,946,326,2965.4,"No",NA,NA,0.038,0,0,0.038,0.029000001,0,0,0,0,0,0,0,0,0,NA,NA,NA
"51","Cordova 1985","Cordova_1985","Freshwater_Anadromous","Fish","Non-Salmon Fish","Whitefish","Whitefish","Whitefish","126400000","Whitefish",206,853,547,2265,"No",0.9,"Ind.",0.015,0.015,0.015,0,0,12.6,52,0,104,0.061,0.02,14,58,1.4013868e-06,1.6569498,1.3333333,0.024854247
"52","Upper Kenai 1990","Hope_1990","Marine","Fish","Non-Salmon Fish","Flounder","Flounder","Flounder","121400000","Flounder",41,64,99,151.6,"Yes",3,"Ind.",0.054,0.072,0.054,0,0,NA,31,26,36,0.49,0.2,NA,10,1.8472172e-05,4.6026382,3.7037036,0.24854247
"53","Upper Kenai 1990","Hope_1990","Marine","Fish","Non-Salmon Fish","Sculpin","Irish Lord","Irish Lord","123006000","Irish Lord",41,64,99,151.6,"Yes",NA,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,NA,NA,NA
"54","Upper Kenai 1990","Hope_1990","Marine","Fish","Non-Salmon Fish","Shark","Shark","Shark","123200000","Shark",41,64,99,151.6,"Yes",NA,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,NA,NA,NA
"55","Upper Kenai 1990","Hope_1990","Marine","Fish","Non-Salmon Fish","Sole","Sole","Sole","123600000","Sole",41,64,99,151.6,"Yes",NA,NA,0,0.018,0,0,0,NA,0,0,0,0,0,NA,0,0,NA,NA,NA
"56","Upper Kenai 1990","Hope_1990","Marine","Fish","Non-Salmon Fish","Tuna_Mackerel","Tuna_Mackerel","Tuna_Mackerel","124000000","Tuna/Mackerel",41,64,99,151.6,"Yes",NA,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,NA,NA,NA
"57","Upper Kenai 1990","Hope_1990","Freshwater_Anadromous","Fish","Non-Salmon Fish","Pike","Pike","Pike","125400000","Pike",41,64,99,151.6,"Yes",NA,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,NA,NA,NA
"58","Upper Kenai 1990","Hope_1990","Freshwater_Anadromous","Fish","Non-Salmon Fish","Whitefish","Whitefish","Whitefish","126400000","Whitefish",41,64,99,151.6,"Yes",NA,NA,0.018,0.018,0,0.018,0,NA,0,0,0,0,0,NA,0,0,NA,NA,NA
"59","English Bay/Port Graham 1987","Nanwalek_1987","Nearshore","Fish","Non-Salmon Fish","Herring","Herring Roe","Herring Roe","120300000","Herring Roe",33,40,125,151.5,"No",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"60","English Bay/Port Graham 1987","Nanwalek_1987","Marine","Fish","Non-Salmon Fish","Flounder","Flounder","Flounder","121400000","Flounder",33,40,125,151.5,"No",3,"Ind.",0.333,0.273,0.273,0.24200001,0.24200001,696,844,624,1064,21.09,5.57,232,281,NA,20.78651,16.726728,6.921908
"61","Lower Cook Inlet 1989","Nanwalek_1989","Marine","Fish","Non-Salmon Fish","Flounder","Flounder","Flounder","121400000","Flounder",33,41,126,156.5,"No",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"62","Gulf of Alaska 1990","Nanwalek_1990","Marine","Fish","Non-Salmon Fish","Flounder","Flounder","Flounder","121400000","Flounder",35,41,157,183.9,"No",3,"Ind.",0.4,0.314,0.314,0.229,0.171,309,362,262,462,8.829,1.97,103,121,NA,6.1203585,4.925,2.4481432
"63","English Bay/Port Graham 1987","Nanwalek_1987","Marine","Fish","Non-Salmon Fish","Hexagrammidae","Hexagrammidae","Hexagrammidae","121600000","Greenling",33,40,125,151.5,"No",1,"Ind.",0.273,0.24200001,0.24200001,0.152,0.091000006,131,159,101,217,3.97,1.05,131,159,NA,4.7796626,3.8461537,1.3048478
"64","English Bay/Port Graham 1987","Nanwalek_1987","Marine","Fish","Non-Salmon Fish","Sculpin","Sculpin","Sculpin","123000000","Sculpin",33,40,125,151.5,"No",0.5,"Ind.",0.24200001,0.21200001,0.21200001,0.152,0.18200001,123,149,90,208,3.73,0.98,246,298,NA,5.032471,4.049587,1.2178581
"65","Lower Cook Inlet 1989","Nanwalek_1989","Marine","Fish","Non-Salmon Fish","Sculpin","Sculpin","Sculpin","123000000","Sculpin",33,41,126,156.5,"No",0.5,"Ind.",0.03,0.03,0.03,0,0.03,10,12,1,23,0.303,0.08,20,25,NA,3.3138995,2.6666665,0.099416986
"66","MMSII 1991","Nanwalek_1991","Marine","Fish","Non-Salmon Fish","Sculpin","Sculpin","Sculpin","123000000","Sculpin",29,41,114,161.2,"No",0.5,"Ind.",0.172,0.103,0.103,0.069,0.069,20,28,9,47,0.69,0.17,40,57,NA,1.2282622,0.9883721,0.2112611
"67","Gulf of Alaska 1990","Nanwalek_1990","Marine","Fish","Non-Salmon Fish","Sculpin","Irish Lord","Irish Lord","123006000","Irish Lord",35,41,157,183.9,"No",0.5,"Ind.",0.229,0.2,0.2,0.086,0.11399999,19,22,14,30,0.543,0.12,38,45,NA,0.651203,0.52401745,0.14912547
"68","MMSII 1991","Nanwalek_1991","Marine","Fish","Non-Salmon Fish","Sculpin","Irish Lord","Irish Lord","123006000","Irish Lord",29,41,114,161.2,"No",0.5,"Ind.",0.172,0.103,0.103,0.069,0.069,20,28,9,47,0.69,0.17,40,57,NA,1.2282622,0.9883721,0.2112611
"69","MMSII 1992","Nanwalek_1992","Marine","Fish","Non-Salmon Fish","Sculpin","Irish Lord","Irish Lord","123006000","Irish Lord",32,41,133,170.4,"No",0.5,"Ind.",0.219,0.188,0.188,0.063,0.094,41.5,53,31,75,1.297,0.31,83,106,NA,1.7590905,1.4155252,0.38524082
"70","MMSII 1993","Nanwalek_1993","Marine","Fish","Non-Salmon Fish","Sculpin","Irish Lord","Irish Lord","123006000","Irish Lord",33,37,126,141.3,"No",0.5,"Ind.",0.12100001,0.12100001,0.12100001,0.03,0.091000006,33.5,38,19,57,1.015,0.27,67,75,8.823256e-06,2.7729945,2.231405,0.33553234
"71","Gulf of Alaska 1990","Nanwalek_1990","Marine","Fish","Non-Salmon Fish","Shark","Shark","Shark","123200000","Shark",35,41,157,183.9,"No",9,"Ind.",0.029000001,0.029000001,0.029000001,0,0.029000001,9,11,3,19,0.257,0.06,1,1,NA,2.5711288,2.0689654,0.074562736
"72","MMSII 1991","Nanwalek_1991","Marine","Fish","Non-Salmon Fish","Shark","Shark","Shark","123200000","Shark",29,41,114,161.2,"No",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"73","MMSII 1993","Nanwalek_1993","Marine","Fish","Non-Salmon Fish","Shark","Shark","Shark","123200000","Shark",33,37,126,141.3,"No",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"74","Gulf of Alaska 1990","Nanwalek_1990","Marine","Fish","Non-Salmon Fish","Sole","Sole","Sole","123600000","Sole",35,41,157,183.9,"No",1,"Ind.",0.056999996,0.029000001,0.029000001,0.056999996,0.029000001,10,12,3,21,0.286,0.07,10,12,NA,1.526138,1.2280703,0.086989865
"75","MMSII 1992","Nanwalek_1992","Marine","Fish","Non-Salmon Fish","Sole","Sole","Sole","123600000","Sole",32,41,133,170.4,"No",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"76","MMSII 1992","Nanwalek_1992","Freshwater_Anadromous","Fish","Non-Salmon Fish","Pike","Pike","Pike","125400000","Pike",32,41,133,170.4,"No",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"77","MMSII 1993","Nanwalek_1993","Freshwater_Anadromous","Fish","Non-Salmon Fish","Pike","Pike","Pike","125400000","Pike",33,37,126,141.3,"No",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"78","MMSII 1992","Nanwalek_1992","Freshwater_Anadromous","Fish","Non-Salmon Fish","Sheefish","Sheefish","Sheefish","125600000","Sheefish",32,41,133,170.4,"No",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"79","MMSII 1993","Nanwalek_1993","Freshwater_Anadromous","Fish","Non-Salmon Fish","Sheefish","Sheefish","Sheefish","125600000","Sheefish",33,37,126,141.3,"No",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"80","MMSII 1993","Nanwalek_1993","Freshwater_Anadromous","Fish","Non-Salmon Fish","Sturgeon","Sturgeon","Sturgeon","125800000","Sturgeon",33,37,126,141.3,"No",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"81","English Bay/Port Graham 1987","Port Graham_1987","Nearshore","Fish","Non-Salmon Fish","Herring","Herring Roe","Herring Roe","120300000","Herring Roe",54,63,155,180.8,"No",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"82","English Bay/Port Graham 1987","Port Graham_1987","Marine","Fish","Non-Salmon Fish","Flounder","Flounder","Flounder","121400000","Flounder",54,63,155,180.8,"No",3,"Ind.",0.5,0.38900003,0.38900003,0.16700001,0.16700001,1437,1676,1378,1974,26.61,9.27,479,559,0.00040503635,23.039888,18.54,11.519944
"83","Lower Cook Inlet 1989","Port Graham_1989","Marine","Fish","Non-Salmon Fish","Flounder","Flounder","Flounder","121400000","Flounder",48,61,127,161.4,"No",3,"Ind.",0.021,0.021,0.021,0,0,60,76,7,145,1.25,0.47,20,25,3.8521972e-05,27.813087,22.380953,0.5840748
"84","Gulf of Alaska 1990","Port Graham_1990","Marine","Fish","Non-Salmon Fish","Flounder","Flounder","Flounder","121400000","Flounder",46,55,137,163.8,"No",3,"Ind.",0.304,0.261,0.239,0.13,0.13,498,595,410,780,10.826,3.63,166,198,0.00016977201,14.838967,11.94079,4.511046
"85","English Bay/Port Graham 1987","Port Graham_1987","Marine","Fish","Non-Salmon Fish","Hexagrammidae","Hexagrammidae","Hexagrammidae","121600000","Greenling",54,63,155,180.8,"No",1,"Ind.",0.259,0.241,0.241,0.037,0.111,169,197,136,258,3.13,1.09,169,197,4.760869e-05,5.229948,4.208494,1.3545564
"86","English Bay/Port Graham 1987","Port Graham_1987","Marine","Fish","Non-Salmon Fish","Sculpin","Sculpin","Sculpin","123000000","Sculpin",54,63,155,180.8,"No",0.5,"Ind.",0.148,0.13,0.13,0.037,0.093,30.5,35,24,46,0.56,0.19,61,71,8.458397e-06,1.5953739,1.2837838,0.23611534
"87","Lower Cook Inlet 1989","Port Graham_1989","Marine","Fish","Non-Salmon Fish","Sculpin","Sculpin","Sculpin","123000000","Sculpin",48,61,127,161.4,"No",0.5,"Ind.",0.063,0.042,0.042,0.042,0.021,10.5,13,2,24,0.219,0.08,21,27,6.5892846e-06,1.5780473,1.2698412,0.099416986
"88","MMSII 1991","Port Graham_1991","Marine","Fish","Non-Salmon Fish","Sculpin","Sculpin","Sculpin","123000000","Sculpin",49,58,136,161,"No",0.5,"Ind.",0.061,0.061,0.061,0.02,0.02,17,20,6,34,0.347,0.12,34,40,4.423115e-06,2.44468,1.9672132,0.14912547
"89","Gulf of Alaska 1990","Port Graham_1990","Marine","Fish","Non-Salmon Fish","Sculpin","Irish Lord","Irish Lord","123006000","Irish Lord",46,55,137,163.8,"No",0.5,"Ind.",0.022,0.022,0.022,0,0.022,2,2,0,4,0.043,0.01,4,5,5.706623e-07,0.5648692,0.45454544,0.012427123
"90","MMSII 1991","Port Graham_1991","Marine","Fish","Non-Salmon Fish","Sculpin","Irish Lord","Irish Lord","123006000","Irish Lord",49,58,136,161,"No",0.5,"Ind.",0.061,0.061,0.061,0.02,0.02,17,20,6,34,0.347,0.12,34,40,4.423115e-06,2.44468,1.9672132,0.14912547
"91","MMSII 1992","Port Graham_1992","Marine","Fish","Non-Salmon Fish","Sculpin","Irish Lord","Irish Lord","123006000","Irish Lord",48,58,138,166.8,"No",0.5,"Ind.",0.063,0.063,0.063,0,0,24,29,15,43,0.5,0.17,48,58,6.37713e-06,3.3533506,2.6984127,0.2112611
"92","MMSII 1993","Port Graham_1993","Marine","Fish","Non-Salmon Fish","Sculpin","Irish Lord","Irish Lord","123006000","Irish Lord",51,61,146,173.6,"No",0.5,"Ind.",0.02,0.02,0.02,0,0,4,5,1,9,0.078,0.03,8,10,1.3488359e-06,1.8640685,1.5,0.037281368
"93","Gulf of Alaska 1990","Port Graham_1990","Marine","Fish","Non-Salmon Fish","Shark","Shark","Shark","123200000","Shark",46,55,137,163.8,"No",9,"Ind.",0.022,0.022,0.022,0,0.022,18,22,5,39,0.391,0.13,2,2,6.2772847e-06,7.3433,5.9090905,0.1615526
