,Project_Name,Site_Year_Code,Habitat,Taxa_lvl1,Taxa_lvl2,Taxa_lvl3,Taxa_lvl4,Taxa_lvl5,Resource_Code,Resource_Name,Sampled_households,Est_Num_Community_Households,Sampled_Population,Est_Comm_Population,Most_Rep_Year,Conversion_Units_To_Pounds,Resource_Harvest_Units,Percent_Using,Percent_Attempting_to_Harvest,Percent_Harvesting,Percent_Receiving,Percent_Giving,Reported_Pounds_Harvested,Estimated_Total_Pounds_Harvested,Lower_Pounds_Harvested,Upper_Pounds_Harvested,Mean_Pounds_Per_Household,Percapita_Pounds_Harvested,Number_Of_Resource_Harvested,Estimated_Amount_Harvested,Percent_Of_Total_Harvest,Mean_Grams_Per_Capita_Use,Mean_Pounds_Per_Capita_Use,Mean_Grams_Percapita_Harvest
11,Chilkat Chinook Salmon Ethnography,Klukwan_2014,Nearshore,Fish,Non-Salmon Fish,Herring,Herring Roe,Herring Roe,120306000,Herring Spawn on Kelp,24,32,48,64,Yes,7,Gal.,12.5,0,0,12.5,4.1,0,0,0,0,0,0,0,0,0,0,0,0
12,Chilkat Chinook Salmon Ethnography,Klukwan_2014,Nearshore,Fish,Non-Salmon Fish,Herring,Herring Roe,Herring Roe,120308000,Herring Roe on Hair Seaweed,24,32,48,64,Yes,7,Gal.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
13,Chilkat Chinook Salmon Ethnography,Klukwan_2014,Nearshore,Fish,Non-Salmon Fish,Herring,Herring Roe,Herring Roe,120310000,Herring Roe on Hemlock Branches,24,32,48,64,Yes,7,Gal.,70.8,0,0,70.8,37.5,0,0,0,0,0,0,0,0,0,0,0,0
14,Chilkat Chinook Salmon Ethnography,Klukwan_2014,Freshwater_Anadromous,Fish,Non-Salmon Fish,Smelt,Smelt,"Eulachon (hooligan, candlefish)",120404000,"Eulachon (hooligan, candlefish)",24,32,48,64,Yes,9,Gal.,79.1,33.3,33.3,62.5,54.1,4477.2,5969.6,4477.25,6100.214,186.5,93.27604,497.4,663.2,20.6,1.4641931,1.1782237,115.91528
15,Chilkat Chinook Salmon Ethnography,Klukwan_2014,Freshwater_Anadromous,Fish,Non-Salmon Fish,Smelt,Smelt,Silver Smelt,120410000,Silver Smelt,24,32,48,64,Yes,9,Gal.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
16,Chilkat Chinook Salmon Ethnography,Klukwan_2014,Marine,Fish,Non-Salmon Fish,Bass,Bass,Sea Bass,120602000,Sea Bass,24,32,48,64,Yes,1,Ind.,4.1,4.1,4.1,0,4.1,3,4,3,4.129291,0.1,0.0625,3,4,0,0.018640686,0.015,0.07766952
17,Chilkat Chinook Salmon Ethnography,Klukwan_2014,Marine,Fish,Non-Salmon Fish,Gadiformes,Gadiformes,Pacific Cod (gray),121004000,Pacific Cod (gray),24,32,48,64,Yes,3.2,Ind.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
18,Chilkat Chinook Salmon Ethnography,Klukwan_2014,Marine,Fish,Non-Salmon Fish,Gadiformes,Gadiformes,Pacific Tom Cod,121008000,Pacific Tom Cod,24,32,48,64,Yes,0.5,Ind.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
19,Chilkat Chinook Salmon Ethnography,Klukwan_2014,Marine,Fish,Non-Salmon Fish,Eel,Eel,Eel,121200000,Eel,24,32,48,64,Yes,3.6,Ind.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
20,Chilkat Chinook Salmon Ethnography,Klukwan_2014,Marine,Fish,Non-Salmon Fish,Flounder,Flounder,Unknown Flounder,121499000,Unknown Flounder,24,32,48,64,Yes,3,Ind.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
21,Chilkat Chinook Salmon Ethnography,Klukwan_2014,Marine,Fish,Non-Salmon Fish,Hexagrammidae,Hexagrammidae,Lingcod,121606000,Lingcod,24,32,48,64,Yes,6.3,Ind.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
22,Chilkat Chinook Salmon Ethnography,Klukwan_2014,Marine,Fish,Non-Salmon Fish,Halibut,Halibut,Halibut,121800000,Halibut,24,32,48,64,Yes,1,Lbs.,75,16.6,12.5,75,33.3,306,408,306,418.8791,12.7,6.375,306,408,1.4,0.10563055,0.085,7.9222913
23,Chilkat Chinook Salmon Ethnography,Klukwan_2014,Marine,Fish,Non-Salmon Fish,Rockfish,Rockfish,Black Rockfish,122602000,Black Rockfish,24,32,48,64,Yes,2,Ind.,8.3,0,0,8.3,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Chilkat Chinook Salmon Ethnography,Klukwan_2014,Marine,Fish,Non-Salmon Fish,Rockfish,Rockfish,Red Rockfish,122604000,Red Rockfish,24,32,48,64,Yes,4,Ind.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
25,Chilkat Chinook Salmon Ethnography,Klukwan_2014,Marine,Fish,Non-Salmon Fish,Rockfish,Rockfish,Yellow Eye Rockfish,122606000,Yellow Eye Rockfish,24,32,48,64,Yes,3,Ind.,8.3,0,0,8.3,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Chilkat Chinook Salmon Ethnography,Klukwan_2014,Marine,Fish,Non-Salmon Fish,Rockfish,Rockfish,China Rockfish,122634000,China Rockfish,24,32,48,64,Yes,3,Ind.,4.1,0,0,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Chilkat Chinook Salmon Ethnography,Klukwan_2014,Marine,Fish,Non-Salmon Fish,Rockfish,Rockfish,Unknown Rockfish,122699000,Unknown Rockfish,24,32,48,64,Yes,3,Ind.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
28,Chilkat Chinook Salmon Ethnography,Klukwan_2014,Marine,Fish,Non-Salmon Fish,Sablefish,Sablefish,Sablefish (black cod),122800000,Sablefish (black cod),24,32,48,64,Yes,4,Ind.,4.1,0,0,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Chilkat Chinook Salmon Ethnography,Klukwan_2014,Marine,Fish,Non-Salmon Fish,Sculpin,Sculpin,Buffalo Sculpin,123002000,Buffalo Sculpin,24,32,48,64,Yes,1,Ind.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
30,Chilkat Chinook Salmon Ethnography,Klukwan_2014,Marine,Fish,Non-Salmon Fish,Sculpin,Irish Lord,Red Irish Lord,123006020,Red Irish Lord,24,32,48,64,Yes,1,Ind.,4.1,4.1,4.1,4.1,0,1,1.3,1,1.3764304,0,0.020833334,1,1.3,0,0.006213562,0.005,0.02588984
31,Chilkat Chinook Salmon Ethnography,Klukwan_2014,Marine,Fish,Non-Salmon Fish,Sculpin,Sculpin,Unknown Sculpin,123099000,Unknown Sculpin,24,32,48,64,Yes,1,Ind.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
32,Chilkat Chinook Salmon Ethnography,Klukwan_2014,Marine,Fish,Non-Salmon Fish,Skates,Skates,Skates,123400000,Skates,24,32,48,64,Yes,5,Ind.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
33,Chilkat Chinook Salmon Ethnography,Klukwan_2014,Freshwater_Anadromous,Fish,Non-Salmon Fish,Char,Char,Dolly Varden,125006990,Dolly Varden-unknown,24,32,48,64,Yes,3,Ind.,12.5,8.3,8.3,4.1,4.1,36,48,36,49.307446,1.5,0.75,12,16,0.1,0.07456274,0.06,0.93203425
34,Chilkat Chinook Salmon Ethnography,Klukwan_2014,Freshwater_Anadromous,Fish,Non-Salmon Fish,Trout,Trout,Rainbow Trout,126204000,Rainbow Trout,24,32,48,64,Yes,2,Ind.,8.3,4.1,4.1,4.1,4.1,10,13.3,10,13.764303,0.4,0.20833333,5,6.6,0,0.03106781,0.025,0.2588984
35,Chilkat Chinook Salmon Ethnography,Klukwan_2014,Freshwater_Anadromous,Fish,Non-Salmon Fish,Trout,Trout,Steelhead,126206000,Steelhead,24,32,48,64,Yes,8.5,Ind.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
36,Chilkat Chinook Salmon Ethnography,Klukwan_2014,Freshwater_Anadromous,Fish,Non-Salmon Fish,Whitefish,Whitefish,Unknown Whitefish,126499000,Unknown Whitefish,24,32,48,64,Yes,1.75,Ind.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
37,NPRB Yakutat Comprehensive,Yakutat_2015,Freshwater_Anadromous,Fish,Salmon,Oncorhynchus,Oncorhynchus,Chum Salmon,111000000,Chum Salmon,101,240,249,591.7,Yes,6.2604,Ind.,0.03,0.03,0.03,0.01,0.01,200.3,505.8,200.3,1180.5371,2.1,0.85483366,32,80.8,0.003,35.764515,28.779402,1.0623124
38,NPRB Yakutat Comprehensive,Yakutat_2015,Freshwater_Anadromous,Fish,Salmon,Oncorhynchus,Oncorhynchus,Coho Salmon,112000000,Coho Salmon,101,240,249,591.7,Yes,4.41,Ind.,0.644,0.545,0.525,0.23799999,0.406,6482.7,15438.1,10636.851,20239.348,64.3,26.09179,1470,3500.7,0.1,50.382824,40.54263,32.42459
39,NPRB Yakutat Comprehensive,Yakutat_2015,Freshwater_Anadromous,Fish,Salmon,Oncorhynchus,Oncorhynchus,Chinook Salmon,113000000,Chinook Salmon,101,240,249,591.7,Yes,7.2432,Ind.,0.792,0.535,0.485,0.564,0.396,4237.3,10086,7029.942,13142.059,42,17.046246,585,1392.5,0.065,26.744268,21.520884,21.183578
40,NPRB Yakutat Comprehensive,Yakutat_2015,Freshwater_Anadromous,Fish,Salmon,Oncorhynchus,Oncorhynchus,Pink Salmon,114000000,Pink Salmon,101,240,249,591.7,Yes,2.8032,Ind.,0.198,0.168,0.168,0.05,0.079,591.5,1406.5,729.9735,2083.0264,5.9,2.377091,211,501.7,0.009,14.917903,12.00431,2.9540403
41,NPRB Yakutat Comprehensive,Yakutat_2015,Freshwater_Anadromous,Fish,Salmon,Oncorhynchus,Oncorhynchus,Sockeye Salmon,115000000,Sockeye Salmon,101,240,249,591.7,Yes,3.2264,Ind.,0.83199996,0.66300005,0.624,0.44599998,0.475,11379.5,27077.8,20037.572,34118.027,112.8,45.763954,3527,8392.6,0.175,68.38113,55.025707,56.87143
42,NPRB Yakutat Comprehensive,Yakutat_2015,Freshwater_Anadromous,Fish,Salmon,Oncorhynchus,Oncorhynchus,Unknown Salmon,119000000,Unknown Salmon,101,240,249,591.7,Yes,3.9308503,Ind.,0.02,0.01,0.01,0.01,0,117.9,280.2,117.9,703.302,1.2,0.4735964,30,71.3,0.002,29.721476,23.916618,0.5885441
43,NPRB Yakutat Comprehensive,Yakutat_2015,Marine,Fish,Non-Salmon Fish,Herring,Herring,Herring,120200000,Herring,101,240,249,591.7,Yes,6,Gal.,0.118999995,0.079,0.079,0.05,0.05,1320,3150.9,1320,6761.831,13.1,5.3253007,220,525.1,0.02,55.69996,44.82128,6.617817
44,NPRB Yakutat Comprehensive,Yakutat_2015,Nearshore,Fish,Non-Salmon Fish,Herring,Herring Roe,Herring Roe,120302000,Herring Roe/Unspecified,101,240,249,591.7,Yes,7,Gal.,0.01,0.01,0.01,0,0,7,16.6,7,41.666,0.1,0.028112449,1,2.4,0,3.5285044,2.8393574,0.034935687
45,NPRB Yakutat Comprehensive,Yakutat_2015,Nearshore,Fish,Non-Salmon Fish,Herring,Herring Roe,Herring Roe,120306000,Herring Spawn on Kelp,101,240,249,591.7,Yes,7,Gal.,0.02,0.02,0.02,0,0.01,36,85.5,36,211.014,0.4,0.14457831,5.1,12.2,0.001,9.073297,7.301204,0.17966925
46,NPRB Yakutat Comprehensive,Yakutat_2015,Nearshore,Fish,Non-Salmon Fish,Herring,Herring Roe,Herring Roe,120308000,Herring Roe on Hair Seaweed,101,240,249,591.7,Yes,7,Gal.,0.02,0.02,0.02,0,0.01,36,85.5,36,211.014,0.4,0.14457831,5.1,12.2,0.001,9.073297,7.301204,0.17966925
47,NPRB Yakutat Comprehensive,Yakutat_2015,Nearshore,Fish,Non-Salmon Fish,Herring,Herring Roe,Herring Roe,120310000,Herring Roe on Hemlock Branches,101,240,249,591.7,Yes,3.94,Gal.,0.455,0.079,0.079,0.406,0.168,790,1877.3,790,3702.0356,7.8,3.1728513,200.5,476.5,0.012,8.657328,6.966478,3.9429414
48,NPRB Yakutat Comprehensive,Yakutat_2015,Freshwater_Anadromous,Fish,Non-Salmon Fish,Smelt,Smelt,"Eulachon (hooligan, candlefish)",120404000,"Eulachon (hooligan, candlefish)",101,240,249,591.7,Yes,6,Gal.,0.44599998,0.22799999,0.218,0.317,0.218,1333.5,3168.7,1875.8704,4461.5293,13.2,5.3554215,222.3,528.1,0.02,14.937335,12.019946,6.655248
49,NPRB Yakutat Comprehensive,Yakutat_2015,Freshwater_Anadromous,Fish,Non-Salmon Fish,Smelt,Smelt,Silver Smelt,120410000,Silver Smelt,101,240,249,591.7,Yes,9,Gal.,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,0
50,NPRB Yakutat Comprehensive,Yakutat_2015,Marine,Fish,Non-Salmon Fish,Gadiformes,Gadiformes,Pacific Cod (gray),121004000,Pacific Cod (gray),101,240,249,591.7,Yes,3.2,Ind.,0.069,0.02,0.02,0.05,0.03,3.2,15.2,3.724,26.675999,0.1,0.02570281,1,4.8,0,0.46086586,0.37085482,0.031941198
51,NPRB Yakutat Comprehensive,Yakutat_2015,Marine,Fish,Non-Salmon Fish,Gadiformes,Gadiformes,Pacific Tom Cod,121008000,Pacific Tom Cod,101,240,249,591.7,Yes,0.5,Ind.,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,0
52,NPRB Yakutat Comprehensive,Yakutat_2015,Marine,Fish,Non-Salmon Fish,Flounder,Flounder,Unknown Flounder,121499000,Unknown Flounder,101,240,249,591.7,Yes,3,Ind.,0.01,0.01,0.01,0,0,2,4.8,2,12.048,0,0.008032128,0.7,1.6,0,1.0081441,0.81124496,0.009981625
53,NPRB Yakutat Comprehensive,Yakutat_2015,Marine,Fish,Non-Salmon Fish,Hexagrammidae,Hexagrammidae,Lingcod,121606000,Lingcod,101,240,249,591.7,Yes,4,Ind.,0.218,0.158,0.14899999,0.099,0.088999994,320,760.4,338.378,1182.4221,3.2,1.2851405,80,190.1,0.005,7.331957,5.8999634,1.59706
54,NPRB Yakutat Comprehensive,Yakutat_2015,Marine,Fish,Non-Salmon Fish,Hexagrammidae,Hexagrammidae,Rock Greenling,121608000,Rock Greenling,101,240,249,591.7,Yes,1,Ind.,0.02,0.02,0.01,0,0.01,4,9.5,4,23.845001,0,0.016064256,4,9.5,0,1.0081441,0.81124496,0.01996325
55,NPRB Yakutat Comprehensive,Yakutat_2015,Marine,Fish,Non-Salmon Fish,Halibut,Halibut,Halibut,121800000,Halibut,101,240,249,591.7,Yes,1,lb.,0.90099996,0.564,0.495,0.66300005,0.465,6783.6,16214.6,12031.232,20397.967,67.6,27.404255,6783.6,16214.6,0.105,37.79798,30.415712,34.055607
56,NPRB Yakutat Comprehensive,Yakutat_2015,Marine,Fish,Non-Salmon Fish,Rockfish,Rockfish,Black Rockfish,122602000,Black Rockfish,101,240,249,591.7,Yes,1.5,Ind.,0.139,0.118999995,0.099,0.03,0.059,325.5,777,325.5,1372.959,3.2,1.3132529,217,518,0.005,11.773683,9.474182,1.6319957
57,NPRB Yakutat Comprehensive,Yakutat_2015,Marine,Fish,Non-Salmon Fish,Rockfish,Rockfish,Yellow Eye Rockfish,122606000,Yellow Eye Rockfish,101,240,249,591.7,Yes,3,Ind.,0.099,0.059,0.059,0.04,0.059,278,660.6,278,1391.8842,2.8,1.1164658,92.7,220.2,0.004,14.013203,11.276304,1.3874458
58,NPRB Yakutat Comprehensive,Yakutat_2015,Marine,Fish,Non-Salmon Fish,Rockfish,Rockfish,Dusky Rockfish,122616000,Dusky Rockfish,101,240,249,591.7,Yes,1,Ind.,0.01,0.01,0.01,0,0.01,6,14.3,6,35.893,0.1,0.024096385,6,14.3,0,3.0244322,2.433735,0.029944874
59,NPRB Yakutat Comprehensive,Yakutat_2015,Marine,Fish,Non-Salmon Fish,Rockfish,Rockfish,Copper Rockfish,122618000,Copper Rockfish,101,240,249,591.7,Yes,4,Ind.,0.01,0.01,0.01,0,0,16,38,16,95.380005,0.2,0.064257026,4,9.5,0,8.065153,6.4899597,0.079853
60,NPRB Yakutat Comprehensive,Yakutat_2015,Marine,Fish,Non-Salmon Fish,Rockfish,Rockfish,China Rockfish,122634000,China Rockfish,101,240,249,591.7,Yes,1,Ind.,0.01,0.01,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0
61,NPRB Yakutat Comprehensive,Yakutat_2015,Marine,Fish,Non-Salmon Fish,Rockfish,Rockfish,Unknown Rockfish,122699000,Unknown Rockfish,101,240,249,591.7,Yes,1.8405088,Ind.,0.02,0,0,0.02,0.01,0,0,NA,NA,0,0,0,0,0,0,0,0
62,NPRB Yakutat Comprehensive,Yakutat_2015,Marine,Fish,Non-Salmon Fish,Sablefish,Sablefish,Sablefish (black cod),122800000,Sablefish (black cod),101,240,249,591.7,Yes,3.1,Ind.,0.14899999,0.05,0.05,0.118999995,0.079,174.4,414.4,174.4,798.1344,1.7,0.70040154,56.3,133.7,0.003,5.8606777,4.7160373,0.8703977
63,NPRB Yakutat Comprehensive,Yakutat_2015,Marine,Fish,Non-Salmon Fish,Sculpin,Irish Lord,Red Irish Lord,123006020,Red Irish Lord,101,240,249,591.7,Yes,0.5,Ind.,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,0
64,NPRB Yakutat Comprehensive,Yakutat_2015,Marine,Fish,Non-Salmon Fish,Sculpin,Sculpin,Unknown Sculpin,123099000,Unknown Sculpin,101,240,249,591.7,Yes,0.5,Ind.,0.01,0.01,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0
65,NPRB Yakutat Comprehensive,Yakutat_2015,Marine,Fish,Non-Salmon Fish,Shark,Shark,Dogfish,123202000,Dogfish,101,240,249,591.7,Yes,9,Ind.,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,0
66,NPRB Yakutat Comprehensive,Yakutat_2015,Marine,Fish,Non-Salmon Fish,Skates,Skates,Skates,123400000,Skates,101,240,249,591.7,Yes,5,Ind.,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,0
67,NPRB Yakutat Comprehensive,Yakutat_2015,Marine,Fish,Non-Salmon Fish,Sole,Sole,Unknown Sole,123699000,Unknown Sole,101,240,249,591.7,Yes,1,Ind.,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,0
68,NPRB Yakutat Comprehensive,Yakutat_2015,Freshwater_Anadromous,Fish,Non-Salmon Fish,Char,Char,Brook Trout,125004000,Brook Trout,101,240,249,591.7,Yes,1.4,Ind.,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,0
69,NPRB Yakutat Comprehensive,Yakutat_2015,Freshwater_Anadromous,Fish,Non-Salmon Fish,Char,Char,Dolly Varden,125006990,Dolly Varden-unknown,101,240,249,591.7,Yes,1.4,Ind.,0.079,0.069,0.069,0.01,0.02,81.2,193,81.2,357.82202,0.8,0.3261044,58,137.8,0.001,5.116331,4.1170683,0.40525395
70,NPRB Yakutat Comprehensive,Yakutat_2015,Marine,Fish,Non-Salmon Fish,Grayling,Grayling,Grayling,125200000,Grayling,101,240,249,591.7,Yes,0.7,Ind.,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,0
71,NPRB Yakutat Comprehensive,Yakutat_2015,Freshwater_Anadromous,Fish,Non-Salmon Fish,Trout,Trout,Cutthroat Trout,126202000,Cutthroat Trout,101,240,249,591.7,Yes,1.4,Ind.,0.109,0.099,0.088999994,0.02,0.02,81.2,193,81.2,313.432,0.8,0.3261044,58,137.8,0.001,3.7209682,2.9942312,0.40525395
72,NPRB Yakutat Comprehensive,Yakutat_2015,Freshwater_Anadromous,Fish,Non-Salmon Fish,Trout,Trout,Rainbow Trout,126204000,Rainbow Trout,101,240,249,591.7,Yes,1.4,Ind.,0.02,0.02,0.02,0,0.01,12.6,29.9,12.6,70.2949,0.1,0.050602406,9,21.4,0,3.175654,2.5554216,0.062884234
73,NPRB Yakutat Comprehensive,Yakutat_2015,Freshwater_Anadromous,Fish,Non-Salmon Fish,Trout,Trout,Steelhead,126206000,Steelhead,101,240,249,591.7,Yes,1.4,Ind.,0.059,0.079,0.059,0.01,0.02,36.4,86.5,36.4,151.02899,0.4,0.14618473,26,61.8,0.001,3.058037,2.4607763,0.18166557
74,Tongass Resource Use Cooperative Study 1987,Angoon_1987,Marine,Fish,Non-Salmon Fish,Gadiformes,Gadiformes,Gadiformes,121000000,Cod,46,139,193,520.8,No,3.2,Ind.,0.471,NA,0.325,0.22299999,0.146,NA,1585,394,2775,11.363,3.04,NA,495,0.000124605,8.020904,6.4543524,3.7778454
75,Southeast Timber 1984/1985,Angoon_1984,Marine,Fish,Non-Salmon Fish,Flounder,Flounder,Flounder,121400000,Flounder,38,145,163,622,No,4,Ind.,0.158,0.158,0.158,0,0.053000003,124,473,120,826,3.26,0.76,31,118,3.52E-05,5.9776034,4.8101263,0.94446135
76,Tongass Resource Use Cooperative Study 1987,Angoon_1987,Marine,Fish,Non-Salmon Fish,Flounder,Flounder,Flounder,121400000,Flounder,46,139,193,520.8,No,3,Ind.,0.062,NA,0.055,0.007,0,NA,23,-19,64,0.164,0.04,NA,8,1.81E-06,0.8017499,0.6451613,0.049708493
77,Index Communities Year 2 (Southeast AK),Angoon_2012,Marine,Fish,Non-Salmon Fish,Flounder,Flounder,Flounder,121400000,Flounder,51,122,143,342.1,Yes,3,Ind.,0.02,0.02,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0
78,Tongass Resource Use Cooperative Study 1987,Angoon_1987,Marine,Fish,Non-Salmon Fish,Rockfish,Rockfish,Rockfish,122600000,Rockfish,46,139,193,520.8,No,2,Ind.,0.22600001,NA,0.157,0.139,0.037,NA,618,389,847,4.43,1.19,NA,309,4.86E-05,6.5434856,5.2654867,1.4788277
79,Southeast Timber 1984/1985,Angoon_1984,Marine,Fish,Non-Salmon Fish,Sculpin,Irish Lord,Irish Lord,123006000,Irish Lord,38,145,163,622,No,1,Ind.,0.025999999,0.025999999,0.025999999,0,0,5,19,-13,51,0.13,0.03,5,19,1.41E-06,1.4338988,1.1538461,0.037281368
80,Southeast Timber 1984/1985,Angoon_1984,Marine,Fish,Non-Salmon Fish,Sole,Sole,Sole,123600000,Sole,38,145,163,622,No,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
81,Index Communities Year 2 (Southeast AK),Angoon_2012,Marine,Fish,Non-Salmon Fish,Sole,Sole,Sole,123600000,Sole,51,122,143,342.1,Yes,1,Ind.,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,0
82,Southeast Timber 1984/1985,Angoon_1984,Freshwater_Anadromous,Fish,Non-Salmon Fish,Whitefish,Whitefish,Whitefish,126400000,Whitefish,38,145,163,622,No,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
83,Tongass Resource Use Cooperative Study 1987,Beecher Pass_1987,Marine,Fish,Non-Salmon Fish,Gadiformes,Gadiformes,Gadiformes,121000000,Cod,5,17,13,44.2,Yes,3.2,Ind.,0.8,NA,0.6,0.2,0,80,272,-41,585,16,6.15,25,85,0.00012902,9.553351,7.6875,7.642681
84,Tongass Resource Use Cooperative Study 1987,Beecher Pass_1987,Marine,Fish,Non-Salmon Fish,Flounder,Flounder,Flounder,121400000,Flounder,5,17,13,44.2,Yes,NA,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
