,Site_Year_Code,Family,Type,est_total_lb_harv_diff,est_amount_harv_diff,mean_lb_perhousehold_diff,num_res_harv_diff,percap_lb_harv_diff,per_total_harv_diff,rep_lb_harv_diff
103,Wrangell_1987,Geese,Adult,1710,503,1.688,0,0.6,3.88E-05,0
104,Wrangell_2000,Ducks,Adult,304.13567,586.928604,0.40714303,77,0.155252942,0.000926608,39.9
105,Wrangell_2000,Geese,Adult,164.644882,137.204072,0.220408144,18,0.084046693,0.000501622,21.6
106,Wrangell_2000,Upland Game Birds,Adult,1379.66323,1379.66323,1.8469387,181,0.704280144,0.004203407,181
107,Yakutat_1984,Geese,Adult,1556,312,8.6,86,2.86,7.76E-05,430
108,Yakutat_1987,Geese,Adult,428,126,2.528,0,0.73,1.83E-05,0
109,Yakutat_2000,Ducks,Adult,404,642,1.74,381,0.63,1.65E-05,239.6
110,Yakutat_2000,Geese,Adult,152,81,0.63,48,0.25,6.21E-06,89.53
111,Yakutat_2000,Seabirds and Loons,Egg,201,672,0.86,399,0.32,8.22E-06,119.7
112,Yakutat_2000,Upland Game Birds,Adult,72,72,0.31,43,0.11,2.94E-06,43
113,Yakutat_2015,Crane,Adult,0,347.4,0,0,0,0,0
114,Yakutat_2015,Ducks,Adult,437.5,507.9,1.9,242,0.739357343,0.003,184.1
115,Yakutat_2015,Geese,Adult,299.4,694.5,1.3,45,0.506024131,0.002,126
116,Yakutat_2015,Seabirds and Loons,Egg,51.2,-541.4,0.2,-35,0.086546175,0.001,21.5
117,Yakutat_2015,Shorebird,Adult,0.4,0.6,0,10,0.000803213,0,0.2
118,Yakutat_2015,Upland Game Birds,Adult,127.4,95.6,0.5,67,0.21526103,0.001,53.6
